MatrixName,CommSize,Edge,Interior,Dimension,npoints,nnz,AvgNonzerosPerRow,AbsoluteNonZeroSum,Trace,AbsoluteTrace,DiagonalMean,DiagonalNonZeros,DiagonalAverage,FrobeniusNorn,RowVariance,AvgDiagonalDistance,InfinityNorm,MaxNonZeroPerRow,DiagonalSign,lowerBandwidth,upperBandwidth,RowDiagonalDominance,MinNonZeroPerRow,OneNorm,ColumnDiagonalDominance,ColumnVariance,Symmetricity,NonZeroPatternSymmetry,SymmeticInfinityNorm,AntiSymmetricFrobeniusNorm,SymmetricFrobeniusNorm,AntiSymmerticInfinityNorm
as-735_G_148.petsc,1,10,10,7716,30,18518.4,2.4,6.10E+07,637599,637599,82.6333,257.2,9.63841,1.36E+07,61454.4,679.174,2479,1,-1,5454,4344,0,0,148363,0,4044.82,1,1,2479,0,1.91E+06,0
as-735_G_149.petsc,1,10,10,7716,30,4629.6,0.6,1.19E+07,2.04E+06,2.04E+06,264.233,514.4,15.4102,5.59E+06,358261,996.75,5448,1,-1,5475,4344,0,0,144508,0,679.325,1,1,5448,0,4.62E+06,0
as-735_G_150.petsc,1,10,10,7716,30,6172.8,0.8,1.62E+07,2.04E+06,2.04E+06,264.233,514.4,15.4102,6.50E+06,358261,872.167,5448,1,-1,5475,4344,0,0,148009,0,919.929,1,1,5448,0,4.62E+06,0
as-735_G_151.petsc,1,10,10,7716,30,6944.4,0.9,1.85E+07,667948,667948,86.5667,257.2,10.0972,7.25E+06,67444.1,552.625,2597,1,-1,5475,4344,0,0,148803,0,1143.95,1,1,2597,0,2.00E+06,0
as-735_G_152.petsc,1,10,10,7716,30,6172.8,0.8,1.71E+07,0,0,0,0,#NAME?,7.09E+06,0,616.375,5,0,0,5475,4344,0,0,149409,0,1095.36,1,1,5,0,0,0
as-735_G_153.petsc,1,10,10,7716,30,6172.8,0.8,1.79E+07,1.41E+06,1.41E+06,183.267,257.2,21.3764,6.88E+06,302280,742.429,5498,1,-1,5454,4344,0,0,152346,0,1029.98,1,1,5498,0,4.24E+06,0
as-735_G_154.petsc,1,10,10,7716,30,5401.2,0.7,1.95E+07,2.06E+06,2.06E+06,267.433,514.4,15.5968,8.33E+06,368814,772.6,5544,1,-1,5475,2030,0,0,148339,0,1511.16,1,1,5544,0,4.69E+06,0
as-735_G_155.petsc,1,10,10,7716,30,5401.2,0.7,1.55E+07,0,0,0,0,#NAME?,6.86E+06,0,552.429,5,0,0,5475,2030,0,0,148418,0,1023.34,1,1,5,0,0,0
as-735_G_156.petsc,1,10,10,7716,30,4629.6,0.6,1.50E+07,0,0,0,0,#NAME?,6.90E+06,0,443,5,0,0,5454,1314,0,0,152219,0,1037.38,1,1,5,0,0,0
as-735_G_157.petsc,1,10,10,7716,30,10802.4,1.4,5.83E+07,0,0,0,0,#NAME?,1.73E+07,0,339.714,5,0,0,5475,2030,0,0,148418,0,6482.14,1,1,5,0,0,0
as-735_G_158.petsc,1,10,10,7716,30,4629.6,0.6,1.11E+07,1.41E+06,1.41E+06,183.267,257.2,21.3764,5.38E+06,302280,1011.2,5498,1,-1,5475,1314,0,0,147639,0,629.548,1,1,5498,0,4.24E+06,0
as-735_G_159.petsc,1,10,10,7716,30,6172.8,0.8,1.65E+07,3.48E+06,3.48E+06,450.7,771.6,17.5233,6.95E+06,671094,1256.6,5544,1,-1,5475,2030,0,0,147821,0,1052.63,1,1,5544,0,6.32E+06,0
as-735_G_160.petsc,1,10,10,7716,30,4629.6,0.6,1.39E+07,1.41E+06,1.41E+06,183.267,257.2,21.3764,6.08E+06,302280,1168.6,5498,1,-1,5454,1288,0,0,151606,0,804.95,1,1,5498,0,4.24E+06,0
as-735_G_161.petsc,1,10,10,7716,30,5401.2,0.7,1.55E+07,0,0,0,0,#NAME?,6.92E+06,0,890.857,5,0,0,5454,1314,0,0,152755,0,1043.55,1,1,5,0,0,0
as-735_G_162.petsc,1,10,10,7716,30,4629.6,0.6,1.63E+07,3.48E+06,3.48E+06,450.7,771.6,17.5233,7.34E+06,671094,1168,5544,1,-1,5475,2030,0,0,151266,0,1174.24,1,1,5544,0,6.32E+06,0
as-735_G_163.petsc,1,10,10,7716,30,4629.6,0.6,1.35E+07,1.41E+06,1.41E+06,183.267,257.2,21.3764,5.95E+06,302280,1317,5498,1,-1,5475,2030,0,0,148279,0,769.375,1,1,5498,0,4.24E+06,0
as-735_G_164.petsc,1,10,10,7716,30,4629.6,0.6,1.75E+07,2.06E+06,2.06E+06,267.433,514.4,15.5968,7.97E+06,368814,409.25,5544,1,-1,5475,1184,0,0,153330,0,1382.73,1,1,5544,0,4.69E+06,0
as-735_G_165.petsc,1,10,10,7716,30,4629.6,0.6,1.46E+07,0,0,0,0,#NAME?,6.80E+06,0,430.5,5,0,0,5475,2030,0,0,153017,0,1007.64,1,1,5,0,0,0
as-735_G_166.petsc,1,10,10,7716,30,20061.6,2.6,4.65E+07,7.05E+06,7.05E+06,913.833,1286,21.318,1.18E+07,1.50E+06,1503.76,5483,1,-1,5475,4787,0,0,153641,0,3041.25,1,1,5483,0,9.46E+06,0
as-735_G_167.petsc,1,10,10,7716,30,27006,3.5,7.88E+07,0,0,0,0,#NAME?,1.62E+07,0,914.829,5,0,0,5475,4787,0,0,149715,0,5718.46,1,1,5,0,0,0
as-735_G_168.petsc,1,10,10,7716,30,24691.2,3.2,7.31E+07,0,0,0,0,#NAME?,1.58E+07,0,851.75,5,0,0,5475,3148,0,0,148552,0,5441.96,1,1,5,0,0,0
as-735_G_169.petsc,1,10,10,7716,30,27006,3.5,7.85E+07,0,0,0,0,#NAME?,1.63E+07,0,922.943,5,0,0,5475,3311,0,0,151307,0,5768.85,1,1,5,0,0,0
as-735_G_170.petsc,1,10,10,7716,30,24691.2,3.2,7.92E+07,0,0,0,0,#NAME?,1.65E+07,0,1136.69,5,0,0,5454,4787,0,0,151314,0,5898.46,1,1,5,0,0,0
as-735_G_171.petsc,1,10,10,7716,30,25462.8,3.3,7.49E+07,0,0,0,0,#NAME?,1.60E+07,0,1197.24,5,0,0,5475,4787,0,0,151447,0,5543.39,1,1,5,0,0,0
as-735_G_172.petsc,1,10,10,7716,30,20061.6,2.6,5.09E+07,7.10E+06,7.10E+06,920.5,1286,21.4736,1.24E+07,1.53E+06,1285.52,5523,1,-1,5454,3148,0,0,154578,0,3366.81,1,1,5523,0,9.53E+06,0
as-735_G_173.petsc,1,10,10,7716,30,26234.4,3.4,7.48E+07,0,0,0,0,#NAME?,1.59E+07,0,1200.24,5,0,0,5475,4787,0,0,152887,0,5507.76,1,1,5,0,0,0
as-735_G_174.petsc,1,10,10,7716,30,25462.8,3.3,7.38E+07,0,0,0,0,#NAME?,1.58E+07,0,913.848,5,0,0,5454,3311,0,0,154664,0,5429.51,1,1,5,0,0,0
as-735_G_175.petsc,1,10,10,7716,30,25462.8,3.3,7.52E+07,0,0,0,0,#NAME?,1.59E+07,0,1015.18,5,0,0,5475,4787,0,0,153623,0,5520.16,1,1,5,0,0,0
as-735_G_176.petsc,1,10,10,7716,30,22376.4,2.9,4.98E+07,7.10E+06,7.10E+06,920.5,1286,21.4736,1.21E+07,1.53E+06,1584.62,5523,1,-1,5475,4787,0,0,154592,0,3207.35,1,1,5523,0,9.53E+06,0
as-735_G_177.petsc,1,10,10,7716,30,25462.8,3.3,7.07E+07,0,0,0,0,#NAME?,1.54E+07,0,916.545,5,0,0,5475,3311,0,0,153371,0,5155.65,1,1,5,0,0,0
as-735_G_178.petsc,1,10,10,7716,30,26234.4,3.4,7.24E+07,0,0,0,0,#NAME?,1.56E+07,0,1066.94,5,0,0,5454,4787,0,0,155351,0,5279.51,1,1,5,0,0,0
as-735_G_179.petsc,1,10,10,7716,30,23919.6,3.1,7.52E+07,0,0,0,0,#NAME?,1.63E+07,0,1328.45,5,0,0,5475,4787,0,0,148708,0,5746.6,1,1,5,0,0,0
as-735_G_180.petsc,1,10,10,7716,30,25462.8,3.3,8.04E+07,0,0,0,0,#NAME?,1.66E+07,0,1164.64,5,0,0,5475,4787,0,0,155076,0,6010.99,1,1,5,0,0,0
as-735_G_181.petsc,1,10,10,7716,30,20833.2,2.7,5.28E+07,7.10E+06,7.10E+06,920.5,1286,21.4736,1.29E+07,1.53E+06,1674.91,5523,1,-1,5475,4787,0,0,154124,0,3626.53,1,1,5523,0,9.53E+06,0
as-735_G_182.petsc,1,10,10,7716,30,23148,3,5.61E+07,7.10E+06,7.10E+06,920.5,1286,21.4736,1.29E+07,1.53E+06,1343.6,5523,1,-1,5475,4787,0,0,155076,0,3627.79,1,1,5523,0,9.53E+06,0
as-735_G_183.petsc,1,10,10,7716,30,23919.6,3.1,7.09E+07,0,0,0,0,#NAME?,1.75E+07,0,1732.68,5,0,0,5475,4787,0,0,153098,0,6697.39,1,1,5,0,0,0
as-735_G_184.petsc,1,10,10,7716,30,7716,1,2.84E+07,0,0,0,0,#NAME?,1.11E+07,0,1184.5,5,0,0,5475,2124,0,0,150719,0,2677.23,1,1,5,0,0,0
as-735_G_185.petsc,1,10,10,7716,30,6172.8,0.8,2.57E+07,0,0,0,0,#NAME?,1.08E+07,0,1315.25,5,0,0,5475,2124,0,0,150719,0,2561.1,1,1,5,0,0,0
as-735_G_186.petsc,1,10,10,7716,30,7716,1,3.00E+07,0,0,0,0,#NAME?,1.14E+07,0,1116.7,5,0,0,5454,2125,0,0,152057,0,2825.26,1,1,5,0,0,0
as-735_G_187.petsc,1,10,10,7716,30,6172.8,0.8,2.40E+07,0,0,0,0,#NAME?,1.06E+07,0,1109.5,4,0,0,5454,2125,0,0,155981,0,2455.46,1,1,4,0,0,0
as-735_G_188.petsc,1,10,10,7716,30,5401.2,0.7,1.78E+07,2.84E+06,2.84E+06,368.267,514.4,21.4774,7.38E+06,610292,850.6,5524,1,-1,5454,1860,0,0,155981,0,1184.01,1,1,5524,0,6.03E+06,0
as-735_G_189.petsc,1,10,10,7716,30,8487.6,1.1,2.86E+07,0,0,0,0,#NAME?,1.11E+07,0,1175.64,4,0,0,5475,2142,0,0,152772,0,2673.96,1,1,4,0,0,0
as-735_G_190.petsc,1,10,10,7716,30,4629.6,0.6,1.49E+07,2.84E+06,2.84E+06,368.267,514.4,21.4774,6.83E+06,610292,598.5,5524,1,-1,5475,1323,0,0,153975,0,1014.4,1,1,5524,0,6.03E+06,0
as-735_G_191.petsc,1,10,10,7716,30,4629.6,0.6,1.06E+07,0,0,0,0,#NAME?,4.46E+06,0,607,4,0,0,5475,1323,0,0,103930,0,432.705,1,1,4,0,0,0
as-735_G_192.petsc,1,10,10,7716,30,6944.4,0.9,2.72E+07,0,0,0,0,#NAME?,1.10E+07,0,1282.44,4,0,0,5475,2124,0,0,153160,0,2652.02,1,1,4,0,0,0
as-735_G_193.petsc,1,10,10,7716,30,6172.8,0.8,2.60E+07,0,0,0,0,#NAME?,1.09E+07,0,1251.38,5,0,0,5475,2125,0,0,152137,0,2609.46,1,1,5,0,0,0
as-735_G_194.petsc,1,10,10,7716,30,5401.2,0.7,1.69E+07,2.90E+06,2.90E+06,375.6,514.4,21.9051,7.27E+06,634839,845,5634,1,-1,5454,1860,0,0,153167,0,1152.04,1,1,5634,0,6.15E+06,0
as-735_G_195.petsc,1,10,10,7716,30,5401.2,0.7,1.67E+07,2.90E+06,2.90E+06,375.6,514.4,21.9051,7.21E+06,634839,627.8,5634,1,-1,5454,1860,0,0,153170,0,1131.52,1,1,5634,0,6.15E+06,0
as-735_G_196.petsc,1,10,10,7716,30,6944.4,0.9,2.58E+07,0,0,0,0,#NAME?,1.09E+07,0,1242.78,5,0,0,5454,2014,0,0,153656,0,2583.91,1,1,5,0,0,0
as-735_G_197.petsc,1,10,10,7716,30,6944.4,0.9,2.91E+07,750510,750510,97.2667,257.2,11.3453,1.13E+07,85147.2,1210.12,2918,1,-1,5475,2015,0,0,152332,0,2766.12,1,1,2918,0,2.25E+06,0
as-735_G_198.petsc,1,10,10,7716,30,6944.4,0.9,2.81E+07,0,0,0,0,#NAME?,1.12E+07,0,1099,5,0,0,5475,2014,0,0,152332,0,2723.67,1,1,5,0,0,0
as-735_G_199.petsc,1,10,10,7716,30,6944.4,0.9,2.73E+07,0,0,0,0,#NAME?,1.11E+07,0,1204,5,0,0,5475,2015,0,0,151505,0,2677.71,1,1,5,0,0,0
as-735_G_200.petsc,1,10,10,7716,30,6944.4,0.9,2.82E+07,0,0,0,0,#NAME?,1.11E+07,0,1133.44,5,0,0,5454,2014,0,0,154693,0,2683.07,1,1,5,0,0,0
as-735_G_201.petsc,1,10,10,7716,30,7716,1,2.83E+07,0,0,0,0,#NAME?,1.12E+07,0,1218.2,5,0,0,5475,2125,0,0,152332,0,2709.88,1,1,5,0,0,0
as-735_G_202.petsc,1,10,10,7716,30,10802.4,1.4,2.94E+07,4.29E+06,4.29E+06,555.6,771.6,21.6019,9.68E+06,926074,1301.36,5556,1,-1,5454,3232,0,0,154558,0,2037.78,1,1,5556,0,7.43E+06,0
as-735_G_203.petsc,1,10,10,7716,30,10802.4,1.4,3.08E+07,4.35E+06,4.35E+06,563.4,771.6,21.9051,9.44E+06,952259,780.909,5634,1,-1,5475,2592,0,0,154189,0,1939.83,1,1,5634,0,7.53E+06,0
as-735_G_204.petsc,1,10,10,7716,30,10802.4,1.4,3.62E+07,0,0,0,0,#NAME?,1.27E+07,0,1508.79,5,0,0,5454,4424,0,0,156792,0,3496.8,1,1,5,0,0,0
as-735_G_205.petsc,1,10,10,7716,30,11574,1.5,3.84E+07,0,0,0,0,#NAME?,1.30E+07,0,1484.73,5,0,0,5475,3232,0,0,153298,0,3663.93,1,1,5,0,0,0
as-735_G_206.petsc,1,10,10,7716,30,10802.4,1.4,3.23E+07,4.35E+06,4.35E+06,563.4,771.6,21.9051,9.78E+06,952259,1162.82,5634,1,-1,5475,3232,0,0,155477,0,2080.43,1,1,5634,0,7.53E+06,0
as-735_G_207.petsc,1,10,10,7716,30,10802.4,1.4,3.12E+07,4.35E+06,4.35E+06,563.4,771.6,21.9051,9.58E+06,952259,1090.27,5634,1,-1,5475,2592,0,0,155006,0,1996.02,1,1,5634,0,7.53E+06,0
as-735_G_208.petsc,1,10,10,7716,30,11574,1.5,2.97E+07,4.35E+06,4.35E+06,563.4,771.6,21.9051,9.22E+06,952259,1165.17,5634,1,-1,5475,3232,0,0,155739,0,1848.45,1,1,5634,0,7.53E+06,0
as-735_G_209.petsc,1,10,10,7716,30,11574,1.5,3.90E+07,0,0,0,0,#NAME?,1.31E+07,0,1601.47,5,0,0,5475,3232,0,0,153260,0,3714.49,1,1,5,0,0,0
as-735_G_210.petsc,1,10,10,7716,30,13117.2,1.7,5.03E+07,0,0,0,0,#NAME?,1.42E+07,0,1477.65,5,0,0,5454,3232,0,0,157382,0,4393.31,1,1,5,0,0,0
as-735_G_211.petsc,1,10,10,7716,30,10802.4,1.4,4.06E+07,0,0,0,0,#NAME?,1.31E+07,0,1374.93,5,0,0,5475,2167,0,0,157356,0,3751.14,1,1,5,0,0,0
as-735_G_212.petsc,1,10,10,7716,30,11574,1.5,3.62E+07,0,0,0,0,#NAME?,1.27E+07,0,1633.53,5,0,0,5454,3232,0,0,158014,0,3490.07,1,1,5,0,0,0
as-735_G_213.petsc,1,10,10,7716,30,13117.2,1.7,4.25E+07,0,0,0,0,#NAME?,1.34E+07,0,1520.59,5,0,0,5475,3232,0,0,154650,0,3935.84,1,1,5,0,0,0
as-735_G_214.petsc,1,10,10,7716,30,11574,1.5,3.55E+07,4.35E+06,4.35E+06,563.4,771.6,21.9051,1.05E+07,952259,1367.25,5634,1,-1,5475,3232,0,0,154239,0,2387.03,1,1,5634,0,7.53E+06,0
as-735_G_215.petsc,1,10,10,7716,30,10802.4,1.4,4.19E+07,0,0,0,0,#NAME?,1.33E+07,0,1430.71,5,0,0,5475,3232,0,0,153917,0,3829.5,1,1,5,0,0,0
as-735_G_216.petsc,1,10,10,7716,30,11574,1.5,2.82E+07,4.35E+06,4.35E+06,563.4,771.6,21.9051,8.99E+06,952259,1105.25,5634,1,-1,5475,4424,0,0,154239,0,1757.54,1,1,5634,0,7.53E+06,0
as-735_G_217.petsc,1,10,10,7716,30,9259.2,1.2,3.16E+07,0,0,0,0,#NAME?,1.24E+07,0,1700.75,5,0,0,5475,3232,0,0,156417,0,3336.56,1,1,5,0,0,0
as-735_G_218.petsc,1,10,10,7716,30,12345.6,1.6,4.56E+07,0,0,0,0,#NAME?,1.38E+07,0,1409.88,5,0,0,5475,2592,0,0,154239,0,4121.62,1,1,5,0,0,0
as-735_G_219.petsc,1,10,10,7716,30,13117.2,1.7,4.22E+07,0,0,0,0,#NAME?,1.31E+07,0,1415.29,5,0,0,5475,4424,0,0,155659,0,3744.95,1,1,5,0,0,0
as-735_G_220.petsc,1,10,10,7716,30,8487.6,1.1,5.59E+07,0,0,0,0,#NAME?,1.78E+07,0,2225.82,5,0,0,5475,3554,0,0,154545,0,6908.7,1,1,5,0,0,0
as-735_G_221.petsc,1,10,10,7716,30,7716,1,3.20E+07,1.01E+07,1.01E+07,1314.6,1800.4,21.9051,1.16E+07,2.22E+06,2774,5634,1,-1,5475,4689,0,0,154659,0,2907.51,1,1,5634,0,1.15E+07,0
as-735_G_222.petsc,1,10,10,7716,30,7716,1,5.59E+07,0,0,0,0,#NAME?,1.79E+07,0,2092.1,5,0,0,5475,2795,0,0,154659,0,6991.52,1,1,5,0,0,0
as-735_G_223.petsc,1,10,10,7716,30,10030.8,1.3,5.74E+07,0,0,0,0,#NAME?,1.80E+07,0,2250.15,5,0,0,5475,4689,0,0,155061,0,7018.75,1,1,5,0,0,0
as-735_G_224.petsc,1,10,10,7716,30,6172.8,0.8,3.07E+07,1.01E+07,1.01E+07,1314.6,1800.4,21.9051,1.15E+07,2.22E+06,79,5634,1,-1,5454,4424,0,0,156070,0,2880.89,1,1,5634,0,1.15E+07,0
as-735_G_225.petsc,1,10,10,7716,30,8487.6,1.1,5.86E+07,0,0,0,0,#NAME?,1.82E+07,0,2329,5,0,0,5621,4689,0,0,154094,0,7202.15,1,1,5,0,0,0
as-735_G_226.petsc,1,10,10,7716,30,8487.6,1.1,4.11E+07,1.01E+07,1.01E+07,1314.6,1800.4,21.9051,1.30E+07,2.22E+06,2779.25,5634,1,-1,5637,4689,0,0,156291,0,3689.91,1,1,5634,0,1.15E+07,0
as-735_G_227.petsc,1,10,10,7716,30,7716,1,3.70E+07,1.01E+07,1.01E+07,1314.6,1800.4,21.9051,1.23E+07,2.22E+06,3679.33,5634,1,-1,5621,4689,0,0,160690,0,3285.26,1,1,5634,0,1.15E+07,0
as-735_G_228.petsc,1,10,10,7716,30,10030.8,1.3,6.38E+07,0,0,0,0,#NAME?,1.87E+07,0,2249.46,5,0,0,5621,4689,0,0,159698,0,7632.82,1,1,5,0,0,0
as-735_G_229.petsc,1,10,10,7716,30,9259.2,1.2,5.73E+07,0,0,0,0,#NAME?,1.81E+07,0,2204.75,5,0,0,5637,4689,0,0,156269,0,7145.13,1,1,5,0,0,0
as-735_G_230.petsc,1,10,10,7716,30,7716,1,3.62E+07,1.02E+07,1.02E+07,1317.17,1800.4,21.9479,1.23E+07,2.23E+06,2142.67,5645,1,-1,5637,4424,0,0,157740,0,3273.64,1,1,5645,0,1.15E+07,0
as-735_G_231.petsc,1,10,10,7716,30,8487.6,1.1,5.70E+07,0,0,0,0,#NAME?,1.80E+07,0,2216.82,5,0,0,5637,4424,0,0,158086,0,7017.12,1,1,5,0,0,0
as-735_G_232.petsc,1,10,10,7716,30,7716,1,3.35E+07,1.02E+07,1.02E+07,1317.17,1800.4,21.9479,1.17E+07,2.23E+06,3679.33,5645,1,-1,5637,4689,0,0,157740,0,2978.31,1,1,5645,0,1.15E+07,0
as-735_G_233.petsc,1,10,10,7716,30,10030.8,1.3,6.26E+07,0,0,0,0,#NAME?,1.86E+07,0,2242.54,5,0,0,5637,4689,0,0,157740,0,7523.87,1,1,5,0,0,0
as-735_G_234.petsc,1,10,10,7716,30,6944.4,0.9,3.45E+07,1.02E+07,1.02E+07,1317.17,1800.4,21.9479,1.21E+07,2.23E+06,1816.5,5645,1,-1,5637,4424,0,0,159517,0,3212.87,1,1,5645,0,1.15E+07,0
as-735_G_235.petsc,1,10,10,7716,30,8487.6,1.1,5.72E+07,0,0,0,0,#NAME?,1.81E+07,0,2389,5,0,0,5637,4689,0,0,157267,0,7144.45,1,1,5,0,0,0
as-735_G_236.petsc,1,10,10,7716,30,4629.6,0.6,1.66E+07,2.90E+06,2.90E+06,376.333,514.4,21.9479,7.85E+06,637320,2779.25,5645,1,-1,5637,4689,0,0,155838,0,1340.51,1,1,5645,0,6.16E+06,0
as-735_G_237.petsc,1,10,10,7716,30,6172.8,0.8,2.45E+07,0,0,0,0,#NAME?,9.82E+06,0,1426.12,5,0,0,5621,4689,0,0,158958,0,2100.67,1,1,5,0,0,0
as-735_G_238.petsc,1,10,10,7716,30,3858,0.5,1.87E+07,0,0,0,0,#NAME?,8.89E+06,0,768.4,5,0,0,5621,3554,0,0,158958,0,1719.74,1,1,5,0,0,0
as-735_G_239.petsc,1,10,10,7716,30,6172.8,0.8,2.55E+07,0,0,0,0,#NAME?,1.01E+07,0,1425.62,5,0,0,5637,4689,0,0,157552,0,2208.48,1,1,5,0,0,0
as-735_G_240.petsc,1,10,10,7716,30,13117.2,1.7,3.55E+07,998965,998965,129.467,257.2,15.1011,1.06E+07,150855,609.125,3884,1,-1,5719,1145,0,0,157943,0,2432.21,1,1,3884,0,3.00E+06,0
as-735_G_241.petsc,1,10,10,7716,30,13888.8,1.8,3.41E+07,0,0,0,0,#NAME?,1.04E+07,0,863.5,5,0,0,5719,4645,0,0,158653,0,2335.23,1,1,5,0,0,0
as-735_G_242.petsc,1,10,10,7716,30,13888.8,1.8,3.24E+07,998965,998965,129.467,257.2,15.1011,1.01E+07,150855,854.647,3884,1,-1,5719,4645,0,0,158957,0,2229.29,1,1,3884,0,3.00E+06,0
as-735_G_243.petsc,1,10,10,7716,30,14660.4,1.9,3.69E+07,0,0,0,0,#NAME?,1.06E+07,0,778.789,5,0,0,5719,4645,0,0,159513,0,2455.66,1,1,5,0,0,0
as-735_G_244.petsc,1,10,10,7716,30,13888.8,1.8,3.98E+07,998965,998965,129.467,257.2,15.1011,1.14E+07,150855,945.941,3884,1,-1,5719,4645,0,0,159513,0,2844.57,1,1,3884,0,3.00E+06,0
as-735_G_245.petsc,1,10,10,7716,30,11574,1.5,3.07E+07,998965,998965,129.467,257.2,15.1011,1.00E+07,150855,714.929,3884,1,-1,5719,922,0,0,155111,0,2196,1,1,3884,0,3.00E+06,0
as-735_G_246.petsc,1,10,10,7716,30,10802.4,1.4,3.02E+07,0,0,0,0,#NAME?,1.01E+07,0,549.786,5,0,0,5637,913,0,0,162210,0,2213,1,1,5,0,0,0
as-735_G_247.petsc,1,10,10,7716,30,13888.8,1.8,2.70E+07,2.93E+06,2.93E+06,379.333,514.4,22.1229,8.31E+06,647522,722.25,5690,1,-1,5719,1145,0,0,159644,0,1501.22,1,1,5690,0,6.21E+06,0
as-735_G_248.petsc,1,10,10,7716,30,12345.6,1.6,2.98E+07,2.93E+06,2.93E+06,379.333,514.4,22.1229,9.33E+06,647522,1123.36,5690,1,-1,5719,4645,0,0,159888,0,1893.25,1,1,5690,0,6.21E+06,0
as-735_G_249.petsc,1,10,10,7716,30,13117.2,1.7,3.75E+07,0,0,0,0,#NAME?,1.11E+07,0,863.235,5,0,0,5719,4645,0,0,165094,0,2667.03,1,1,5,0,0,0
as-735_G_250.petsc,1,10,10,7716,30,13117.2,1.7,2.77E+07,2.94E+06,2.94E+06,381.133,514.4,22.2278,8.57E+06,653682,791.067,5717,1,-1,5719,1145,0,0,163898,0,1599.03,1,1,5717,0,6.24E+06,0
as-735_G_251.petsc,1,10,10,7716,30,12345.6,1.6,3.15E+07,998965,998965,129.467,257.2,15.1011,1.01E+07,150855,620.4,3884,1,-1,5637,1145,0,0,164282,0,2237.9,1,1,3884,0,3.00E+06,0
as-735_G_252.petsc,1,10,10,7716,30,13888.8,1.8,3.33E+07,0,0,0,0,#NAME?,1.04E+07,0,652.5,5,0,0,5719,1145,0,0,163922,0,2337.49,1,1,5,0,0,0
as-735_G_253.petsc,1,10,10,7716,30,12345.6,1.6,3.35E+07,0,0,0,0,#NAME?,1.03E+07,0,898.25,5,0,0,5719,4645,0,0,164308,0,2309.78,1,1,5,0,0,0
as-735_G_254.petsc,1,10,10,7716,30,16203.6,2.1,4.05E+07,998965,998965,129.467,257.2,15.1011,1.13E+07,150855,772.8,3884,1,-1,5719,2666,0,0,159864,0,2783.93,1,1,3884,0,3.00E+06,0
as-735_G_255.petsc,1,10,10,7716,30,13117.2,1.7,3.70E+07,0,0,0,0,#NAME?,1.11E+07,0,963.588,5,0,0,5719,4645,0,0,161904,0,2690.01,1,1,5,0,0,0
as-735_G_256.petsc,1,10,10,7716,30,13117.2,1.7,3.71E+07,0,0,0,0,#NAME?,1.11E+07,0,925.529,5,0,0,5719,4645,0,0,160949,0,2689.33,1,1,5,0,0,0
as-735_G_257.petsc,1,10,10,7716,30,16203.6,2.1,3.80E+07,0,0,0,0,#NAME?,1.07E+07,0,603.81,5,0,0,5719,2666,0,0,160545,0,2502.28,1,1,5,0,0,0
as-735_G_258.petsc,1,10,10,7716,30,13888.8,1.8,3.56E+07,0,0,0,0,#NAME?,1.10E+07,0,795.722,5,0,0,5719,4645,0,0,161135,0,2650.41,1,1,5,0,0,0
as-735_G_259.petsc,1,10,10,7716,30,13888.8,1.8,4.31E+07,998965,998965,129.467,257.2,15.1011,1.22E+07,150855,985.176,3884,1,-1,5719,4645,0,0,162117,0,3245.45,1,1,3884,0,3.00E+06,0
as-735_G_260.petsc,1,10,10,7716,30,14660.4,1.9,3.70E+07,0,0,0,0,#NAME?,1.07E+07,0,970.842,5,0,0,5637,4645,0,0,165479,0,2491.06,1,1,5,0,0,0
as-735_G_261.petsc,1,10,10,7716,30,9259.2,1.2,4.66E+07,0,0,0,0,#NAME?,1.38E+07,0,592.5,5,0,0,5719,3541,0,0,159865,0,4129.13,1,1,5,0,0,0
as-735_G_262.petsc,1,10,10,7716,30,6944.4,0.9,2.67E+07,5.87E+06,5.87E+06,760.267,1028.8,22.1695,9.83E+06,1.30E+06,1183.2,5702,1,-1,5719,3259,0,0,160286,0,2101.72,1,1,5702,0,8.80E+06,0
as-735_G_263.petsc,1,10,10,7716,30,6172.8,0.8,3.07E+07,5.87E+06,5.87E+06,760.267,1028.8,22.1695,1.10E+07,1.30E+06,1570.5,5702,1,-1,5719,3259,0,0,160393,0,2627.7,1,1,5702,0,8.80E+06,0
as-735_G_264.petsc,1,10,10,7716,30,10030.8,1.3,4.82E+07,0,0,0,0,#NAME?,1.39E+07,0,529.077,5,0,0,5719,3259,0,0,160326,0,4181.5,1,1,5,0,0,0
as-735_G_265.petsc,1,10,10,7716,30,7716,1,3.88E+07,0,0,0,0,#NAME?,1.29E+07,0,396.9,5,0,0,5719,3541,0,0,161655,0,3609.46,1,1,5,0,0,0
as-735_G_266.petsc,1,10,10,7716,30,10030.8,1.3,4.92E+07,945210,945210,122.5,257.2,14.2885,1.41E+07,135056,684.333,3675,1,-1,5719,3259,0,0,160291,0,4343.95,1,1,3675,0,2.84E+06,0
as-735_G_267.petsc,1,10,10,7716,30,6944.4,0.9,2.90E+07,5.87E+06,5.87E+06,760.267,1028.8,22.1695,1.03E+07,1.30E+06,1369.2,5702,1,-1,5719,4421,0,0,162613,0,2297.78,1,1,5702,0,8.80E+06,0
