 Name,NumRows, NumCols, MinNNZperRow, RowVariance, ColVariance, DiagVariance, Nonzeros, FrobeniusNorm, SymmetricFrobeniusNorm, AntiSymmetricFrobeniusNorm, OneNorm, InfinityNorm, SymmetricInfinityNorm, AntiSymmetricInfinityNorm, MaxNNZperRow, Trace, AbsTrace, MinNNZperRow, AvgNNZperRow, DummyRows, DummyRowsKind, NumericValueSymmetry1, NNZPatternSymmetry1, NumericValueSymmetry2, NNZPatternSymmetry2, RowDiagDominance, ColDiagDominancy, DiagAverage, DiagSign, DiagNNZ, LowerBW, UpperBW, RowLogValSpread, ColLogValSpread, Symmetric
 mark3jac120sc.petsc,54929,54929,2,1.00E+08,8.01E+07,8.51E+08,322483,1.20E+07,9.80E+06,6.97E+06,2.10E+06,3.15E+06,2.10E+06,1.05E+06,44,1.88E+08,1.88E+08,2,5,0,0,0,0,0.713133,0.426266,0,0,3422.58,3,54569,1375,4075,13.1528,9.97619,0
 mark3jac060sc.petsc,27449,27449,2,2.00E+08,1.60E+08,9.92E+08,160723,9.44E+06,7.64E+06,5.54E+06,2.10E+06,3.15E+06,2.10E+06,1.05E+06,44,9.89E+07,9.90E+07,2,5,0,0,0,0,0.707023,0.414046,0,0,3605.35,3,27269,1375,4075,13.1528,9.97619,0
 jan99jac120.petsc,41374,41374,1,1.51E+08,8.73E+07,2.01E+09,229385,2.46E+07,1.86E+07,1.62E+07,1.90E+06,5.00E+06,2.50E+06,2.50E+06,68,7.95E+07,1.12E+08,1,5,0,0,0,0,0.562201,0.124402,0,0,2713.75,3,41354,6771,13495,18.0211,18.0211,0
 g7jac040.petsc,11790,11790,1,3.86E+10,2.00E+10,2.71E+11,107383,1.44E+08,1.09E+08,9.36E+07,4.24E+07,8.41E+07,4.20E+07,4.20E+07,120,-6.15E+08,6.15E+08,1,9,0,0,0,0,0.539695,0.0793892,0,0,52154.7,3,11510,11751,11729,19.2965,24.6461,0
 PGPgiantcompo.petsc,10680,10680,0,0.0114318,0.0162032,0,24316,156.167,110.426,110.426,179,125,103,103,125,0,0,0,2,0,1,0,0,0.5,0,0,0,0,0,0,7337,0,0.30103,0.30103,0
 g7jac180.petsc,53370,53370,1,5.50E+13,6.97E+13,1.86E+13,641290,9.13E+09,6.49E+09,6.42E+09,2.61E+09,2.01E+09,1.30E+09,1.30E+09,141,-1.68E+10,1.68E+10,1,12,0,0,0,0,0.51702,0.0340407,0,0,314580,3,52110,13594,13858,19.7736,27.0506,0
 jan99jac120sc.petsc,41374,41374,1,6.34626,6.33915,312.342,229385,4048.49,3860.9,1218.07,572.456,570.183,567.319,208.862,68,146410,161101,1,5,0,0,0,0,0.680963,0.361925,0,0,3.89378,3,41354,6771,13495,8.08964,8.38811,0
 g7jac020sc.petsc,5850,5850,1,125751,125281,9.34857,42568,33060.6,23292.1,23462.3,27158.1,28860.9,14227.4,14847.7,60,9476.95,13234.8,1,7,0,0,0,0,0.528258,0.0565154,0,0,2.26237,3,5710,5837,5789,16.806,16.354,0
 jan99jac040.petsc,13694,13694,1,1.48E+08,8.22E+07,1.17E+09,72734,1.09E+07,8.19E+06,7.14E+06,1.06E+06,2.92E+06,1.46E+06,1.46E+06,68,2.08E+07,2.92E+07,1,5,0,0,0,0,0.562238,0.124476,0,0,2132.34,3,13674,6771,12785,14.0191,14.0191,0
 g7jac060.petsc,17730,17730,1,6.89E+10,3.57E+10,4.54E+11,183325,2.46E+08,1.85E+08,1.62E+08,6.30E+07,1.35E+08,6.77E+07,6.77E+07,141,-1.16E+09,1.16E+09,1,10,0,0,0,0,0.534671,0.0693424,0,0,65370.7,3,17310,13594,13858,19.7736,24.8499,0
 mark3jac040.petsc,18289,18289,2,8.86E+09,8.15E+09,19925.6,106803,8.63E+07,6.10E+07,6.10E+07,1.22E+07,1.58E+07,7.91E+06,7.91E+06,44,-99211.5,218479,2,5,0,0,0,0,0.500113,0.000225759,0,0,11.9459,3,18169,1375,4075,18.7133,21.6096,0
 jan99jac100.petsc,34454,34454,1,1.13E+08,6.29E+07,1.70E+09,190224,2.07E+07,1.56E+07,1.36E+07,1.47E+06,4.06E+06,2.03E+06,2.03E+06,68,6.16E+07,8.75E+07,1,5,0,0,0,0,0.562345,0.12469,0,0,2538.52,3,34434,6771,13495,18.0211,18.0211,0
 mark3jac140sc.petsc,64089,64089,2,8.58E+07,6.86E+07,8.34E+08,376395,1.27E+07,1.04E+07,7.33E+06,2.10E+06,3.15E+06,2.10E+06,1.05E+06,44,2.18E+08,2.18E+08,2,5,0,0,0,0,0.715378,0.430757,0,0,3409.2,3,63669,1375,4075,13.1528,9.97619,0
 g7jac100.petsc,29610,29610,1,2.98E+11,2.23E+11,1.42E+12,335972,7.05E+08,5.18E+08,4.77E+08,1.38E+08,3.21E+08,1.60E+08,1.60E+08,141,-3.14E+09,3.14E+09,1,11,0,0,0,0,0.528648,0.0572952,0,0,105885,3,28910,13594,13858,19.7736,25.5906,0
 g7jac020.petsc,5850,5850,1,2.90E+10,1.50E+10,1.67E+11,42568,7.46E+07,5.71E+07,4.81E+07,2.65E+07,3.75E+07,1.88E+07,1.88E+07,60,-2.44E+08,2.44E+08,1,7,0,0,0,0,0.549386,0.0987718,0,0,41691.9,3,5710,5837,5789,19.2965,24.1306,0
 g7jac160.petsc,47430,47430,1,1.27E+13,1.61E+13,9.53E+12,564952,4.49E+09,3.21E+09,3.14E+09,1.18E+09,1.19E+09,5.95E+08,5.95E+08,141,-1.12E+10,1.12E+10,1,11,0,0,0,0,0.520027,0.0400533,0,0,236262,3,46310,13594,13858,19.7736,26.5243,0
 g7jac080sc.petsc,23670,23670,1,495563,495535,41.152,259648,130629,92085.7,92650.9,108628,109233,55281.7,56105.6,141,51186.4,66891.8,1,10,0,0,0,0,0.533948,0.0678969,0,0,2.82602,3,23110,13594,13858,17.7221,17.6835,0
 g7jac060sc.petsc,17730,17730,1,661570,661533,17.3647,183325,127398,89949,90218.7,108614,109267,54672.3,55496.2,141,34200.4,45548,1,10,0,0,0,0,0.529309,0.0586174,0,0,2.56898,3,17310,13594,13858,17.9674,17.5942,0
 mark3jac140.petsc,64089,64089,2,2.53E+09,2.32E+09,358916,376395,1.68E+08,1.19E+08,1.19E+08,1.23E+07,1.58E+07,7.91E+06,7.91E+06,44,-695896,2.20E+06,2,5,0,0,0,0,0.500231,0.000461338,0,0,34.385,3,63669,1375,4075,18.7133,21.6096,0
 g7jac200.petsc,59310,59310,1,2.41E+14,3.05E+14,3.68E+13,717620,1.91E+10,1.36E+10,1.35E+10,5.76E+09,4.43E+09,2.88E+09,2.88E+09,141,-2.50E+10,2.50E+10,1,12,0,0,0,0,0.514078,0.0281554,0,0,422278,3,57910,13594,13858,19.5282,27.2651,0
 g7jac160sc.petsc,47430,47430,1,989242,989228,862.381,564952,283733,198568,202671,216938,217573,109445,110269,141,150083,182578,1,11,0,0,0,0,0.541311,0.0826224,0,0,3.84942,3,46310,13594,13858,18.1938,17.5669,0
 g7jac140sc.petsc,41490,41490,1,282716,282713,359.825,488633,158630,110692,113626,108680,108786,54744.7,55156.7,141,121181,149740,1,11,0,0,0,0,0.542486,0.0849723,0,0,3.60907,3,40510,13594,13858,18.1938,17.585,0
 g7jac010sc.petsc,2880,2880,1,67395.5,63596.7,9.44656,18229,21490.2,15015.2,15374.4,13573.9,17038.7,8346.36,8966.61,36,4423.96,6293.51,1,6,0,0,0,0,0.521359,0.0427189,0,0,2.18525,3,2810,2867,2819,17.0115,16.3051,0
 mark3jac080sc.petsc,36609,36609,2,1.50E+08,1.20E+08,9.95E+08,214643,1.07E+07,8.73E+06,6.26E+06,2.10E+06,3.15E+06,2.10E+06,1.05E+06,44,1.34E+08,1.34E+08,2,5,0,0,0,0,0.710084,0.420169,0,0,3669.24,3,36369,1375,4075,13.1528,9.97619,0
 jan99jac040sc.petsc,13694,13694,1,4.90221,4.78863,250.543,72734,2120.7,2007.7,683.014,386.293,470.371,312.688,204.785,68,43493.8,48307.5,1,5,0,0,0,0,0.677669,0.355338,0,0,3.52764,3,13674,6771,12785,5.09016,5.59022,0
 mark3jac060.petsc,27449,27449,2,5.91E+09,5.43E+09,29825.2,160723,1.06E+08,7.47E+07,7.47E+07,1.22E+07,1.58E+07,7.91E+06,7.91E+06,44,-159733,382662,2,5,0,0,0,0,0.500129,0.000258529,0,0,13.9409,3,27269,1375,4075,18.7133,21.6096,0
 g7jac040sc.petsc,11790,11790,1,248925,248692,10.4977,107383,73930.5,52199,52354.4,54326.5,55937.4,27803,28423.3,120,20554.6,28124.3,1,9,0,0,0,0,0.527722,0.0554433,0,0,2.38544,3,11510,11751,11729,17.12,16.6079,0
 jan99jac020.petsc,6774,6774,1,2.32E+08,1.33E+08,1.04E+09,33744,7.38E+06,5.55E+06,4.87E+06,949603,2.56E+06,1.28E+06,1.28E+06,68,9.75E+06,1.37E+07,1,4,0,0,0,0,0.560627,0.121254,0,0,2026.36,3,6754,6528,6395,10.7586,10.7586,0
 g7jac120.petsc,35550,35550,1,7.14E+11,9.05E+11,2.62E+12,412306,1.25E+09,9.06E+08,8.55E+08,2.43E+08,4.95E+08,2.48E+08,2.48E+08,141,-4.87E+09,4.87E+09,1,11,0,0,0,0,0.525868,0.051735,0,0,136974,3,34710,13594,13858,19.7736,26.1061,0
 jan99jac060sc.petsc,20614,20614,1,3.2568,3.18226,266.128,111903,2734.88,2566.97,943.523,386.293,541.367,337.883,209.883,68,67676.6,75324.7,1,5,0,0,0,0,0.674322,0.348645,0,0,3.65406,3,20594,6771,13495,8.08964,8.68914,0
 Zd_Jac6_db.petsc,22835,22835,1,4.83E+11,1.34E+12,8.72E+11,663643,5.71E+08,4.23E+08,3.83E+08,7.29E+08,1.05E+08,4.13E+08,4.13E+08,224,7.00E+08,8.58E+08,1,29,9443,1,0,0,0.541223,0.082447,0,0,37591.7,3,22835,694,694,20.9663,20.0457,0
 Zd_Jac2_db.petsc,22835,22835,1,2.43E+13,7.63E+13,4.95E+13,676439,3.80E+09,2.84E+09,2.53E+09,2.68E+09,1.09E+09,1.88E+09,1.68E+09,224,1.39E+09,2.75E+09,1,29,9443,1,0,0,0.558392,0.116785,0,0,120246,3,22835,694,694,24.4539,24.4913,0
 Zd_Jac3_db.petsc,22835,22835,1,1.74E+13,5.87E+13,3.44E+13,713907,3.26E+09,2.44E+09,2.17E+09,2.67E+09,8.94E+08,1.78E+09,1.52E+09,224,1.26E+09,2.43E+09,1,31,9443,1,0,0,0.553139,0.106277,0,0,106217,3,22835,694,694,22.2529,22.1848,0
 std1_Jac2_db.petsc,21982,21982,1,9.05E+18,5.42E+18,1.65E+13,498771,4.46E+11,3.15E+11,3.15E+11,3.45E+11,6.48E+11,3.24E+11,3.24E+11,211,1.16E+09,1.86E+09,1,22,10587,1,0,0,0.50179,0.00357917,0,0,84740.6,3,21982,592,592,31.2247,34.812,0
 circuit204.petsc,1020,1020,1,0.0334491,0.0344237,0.304119,5883,42.8859,40.1555,15.0577,12.6,11.6,12.1,1.49,18,224.55,224.55,1,5,0,0,0,0,0.852558,0.705117,0,0,0.220147,1,796,816,346,323.306,323.306,0
 std1_Jac3.petsc,21982,21982,1,1.17E+19,9.33E+18,0.0525295,1455374,7.00E+11,4.95E+11,4.95E+11,4.53E+11,7.14E+11,3.57E+11,3.57E+11,1030,-34.3471,62.5671,1,66,0,0,0,0,0.5,4.70E-11,0,0,0.00284629,3,7,18189,7668,31.3068,25.1731,0
 std1_Jac2.petsc,21982,21982,1,9.06E+18,5.43E+18,0.0516951,1248213,6.31E+11,4.46E+11,4.46E+11,3.46E+11,6.48E+11,3.24E+11,3.24E+11,898,-34.0353,62.2225,1,56,0,0,0,0,0.5,4.80E-11,0,0,0.00283061,3,7,18189,7668,37.2334,34.812,0
 std1_Jac3_db.petsc,21982,21982,1,1.06E+19,8.19E+18,1.12E+13,531826,4.83E+11,3.41E+11,3.41E+11,4.24E+11,6.88E+11,3.44E+11,3.44E+11,211,1.08E+09,1.63E+09,1,24,10587,1,0,0,0.501518,0.00303617,0,0,74344.7,3,21982,592,565,22.4742,21.9557,0
 Zd_Jac6.petsc,22835,22835,1,3.91E+19,3.44E+19,0.0733702,1711557,9.45E+11,6.68E+11,6.68E+11,8.87E+11,1.30E+12,6.51E+11,6.51E+11,1050,-68.543,86.7753,1,74,0,0,0,0,0.5,8.14E-11,0,0,0.0038001,3,7,20403,14761,30.2453,22.5476,0
 case39_A_08.petsc,40216,40216,0,1.33E+16,1.33E+16,1.34E+16,526144,2.33E+10,2.33E+10,3.28E+08,2.34E+10,2.31E+10,2.33E+10,1.57E+08,33,-2.89E+10,2.89E+10,0,13,21,1,0,0,0.98239,0.96478,0,0,718037,3,10118,40206,0,16.4591,18.7212,0
 case39_A_10.petsc,40216,40216,0,4.43E+21,4.61E+21,6.88E+21,526144,1.69E+13,1.68E+13,1.98E+12,1.60E+13,1.33E+13,1.47E+13,1.33E+12,33,-3.80E+13,3.80E+13,0,13,21,1,0,0,0.949967,0.899934,0,0,9.44E+08,3,10118,40206,0,15.9135,18.1309,0
 case39_A_03.petsc,40216,40216,0,1.56E+10,1.57E+10,1.59E+10,526144,2.54E+07,2.53E+07,1.34E+06,2.69E+07,2.51E+07,2.60E+07,919328,33,-4.30E+07,4.31E+07,0,13,21,1,0,0,0.95597,0.91194,0,0,1070.84,3,10118,40206,0,15.1766,16.6383,0
 case39_A_12.petsc,40216,40216,0,5.29E+38,5.50E+38,6.58E+38,526144,5.23E+21,5.19E+21,6.83E+20,5.53E+21,4.61E+21,5.07E+21,4.61E+20,33,-9.30E+21,9.30E+21,0,13,21,1,0,0,0.937161,0.874322,0,0,2.31E+17,3,10118,40206,0,28.2278,29.1237,0
 case39_A_07.petsc,40216,40216,0,3.23E+15,3.23E+15,3.23E+15,526144,1.14E+10,1.14E+10,1.22E+08,1.16E+10,1.14E+10,1.15E+10,8.04E+07,33,-1.25E+10,1.25E+10,0,13,21,1,0,0,0.989162,0.978325,0,0,310235,3,10118,40206,0,15.3201,17.3971,0
 case39_A_04.petsc,40216,40216,0,3.74E+09,3.77E+09,4.44E+09,526144,1.34E+07,1.34E+07,819800,1.33E+07,1.23E+07,1.28E+07,505852,33,-3.25E+07,3.26E+07,0,13,21,1,0,0,0.957609,0.915217,0,0,809.533,3,10118,40206,0,15.9555,18.75,0
 case39_A_05.petsc,40216,40216,0,7.33E+15,7.60E+15,7.34E+15,526144,1.75E+10,1.73E+10,2.32E+09,2.04E+10,1.72E+10,1.88E+10,1.64E+09,33,-1.78E+10,1.78E+10,0,13,21,1,0,0,0.92228,0.84456,0,0,443815,3,10118,40206,0,15.797,18.2705,0
 case39_A_06.petsc,40216,40216,0,2.14E+17,2.14E+17,2.14E+17,526144,9.27E+10,9.27E+10,1.36E+09,9.46E+10,9.27E+10,9.37E+10,9.61E+08,33,-9.34E+10,9.34E+10,0,13,21,1,0,0,0.989575,0.97915,0,0,2.32E+06,3,10118,40206,0,15.4123,18.0581,0
 case39_A_11.petsc,40216,40216,0,1.33E+30,1.38E+30,1.67E+30,526144,2.64E+17,2.61E+17,3.43E+16,2.78E+17,2.31E+17,2.55E+17,2.31E+16,33,-4.75E+17,4.75E+17,0,13,21,1,0,0,0.93787,0.87574,0,0,1.18E+13,3,10118,40206,0,20.6407,21.5367,0
 case39.petsc,40216,40216,0,14512.5,14720.7,497399,526139,142011,141526,11736.1,27136.5,24180.6,25647.8,3705.48,33,-1.22E+06,1.22E+06,0,13,21,1,0,0,0.885324,0.770649,0,0,30.4155,3,10118,40206,0,21.9674,20.5898,0
 case39_A_01.petsc,40216,40216,0,14512.5,14720.7,497399,526139,142011,141526,11736.1,27136.5,24180.6,25647.8,3705.48,33,-1.22E+06,1.22E+06,0,13,21,1,0,0,0.885324,0.770649,0,0,30.4155,3,10118,40206,0,21.9674,20.5898,0
 case39_A_02.petsc,40216,40216,0,2.05E+14,2.06E+14,2.05E+14,526144,2.88E+09,2.87E+09,6.28E+07,2.96E+09,2.87E+09,2.92E+09,4.44E+07,33,-2.90E+09,2.90E+09,0,13,21,1,0,0,0.984753,0.969506,0,0,72213.3,3,10118,40206,0,14.2959,16.6885,0
 case39_A_13.petsc,40216,40216,0,2.02E+47,2.10E+47,2.50E+47,526144,1.02E+26,1.01E+26,1.34E+25,1.08E+26,9.01E+25,9.91E+25,9.01E+24,33,-1.80E+26,1.80E+26,0,13,21,1,0,0,0.936798,0.873597,0,0,4.48E+21,3,10118,40206,0,36.8248,37.7156,0
 case39_A_09.petsc,40216,40216,0,1.50E+17,1.50E+17,1.52E+17,526144,7.81E+10,7.81E+10,1.13E+09,7.87E+10,7.76E+10,7.81E+10,5.56E+08,33,-9.71E+10,9.71E+10,0,13,21,1,0,0,0.984928,0.969857,0,0,2.41E+06,3,10118,40206,0,15.6779,17.9263,0
 case9_A_12.petsc,14454,14454,0,9.65E+33,9.72E+33,9.78E+33,75801,1.19E+19,1.19E+19,7.27E+17,1.28E+19,1.18E+19,1.23E+19,5.14E+17,12,-1.33E+19,1.33E+19,0,5,8,1,0,0,0.963585,0.927169,0,0,9.23E+14,3,3630,14451,0,27.7539,28.1571,0
 case9_A_11.petsc,14454,14454,0,1.45E+26,1.46E+26,1.47E+26,75801,1.46E+15,1.46E+15,8.90E+13,1.57E+15,1.45E+15,1.51E+15,6.29E+13,12,-1.63E+15,1.63E+15,0,5,8,1,0,0,0.963447,0.926895,0,0,1.13E+11,3,3630,14451,0,19.727,20.1303,0
 case9_A_04.petsc,14454,14454,0,8.76E+13,8.79E+13,8.76E+13,75801,1.13E+09,1.13E+09,4.98E+07,1.20E+09,1.13E+09,1.16E+09,3.52E+07,12,-1.13E+09,1.13E+09,0,5,8,1,0,0,0.970649,0.941298,0,0,78265.6,3,3630,14451,0,13.4946,15.2034,0
 case9_A_07.petsc,14454,14454,0,1.19E+15,1.20E+15,1.19E+15,75801,4.17E+09,4.16E+09,2.60E+08,4.51E+09,4.14E+09,4.33E+09,1.84E+08,12,-4.46E+09,4.46E+09,0,5,8,1,0,0,0.96024,0.92048,0,0,308254,3,3630,14451,0,14.2684,15.2905,0
 case9_A_10.petsc,14454,14454,0,3.62E+17,3.65E+17,3.75E+17,75801,7.39E+10,7.37E+10,4.46E+09,7.87E+10,7.24E+10,7.55E+10,3.15E+09,12,-8.74E+10,8.74E+10,0,5,8,1,0,0,0.965253,0.930505,0,0,6.04E+06,3,3630,14451,0,14.6151,15.6133,0
 case9_A_01.petsc,14454,14454,0,1078.31,814.983,6338.56,75801,10028.3,9783.75,2201.36,4790.79,7254.77,5327.26,1996.98,12,-59781.8,59783.8,0,5,8,1,0,0,0.773854,0.547708,0,0,4.13614,3,3630,14451,0,19.6453,19.0132,0
 case9_A_08.petsc,14454,14454,0,3.37E+15,3.40E+15,3.37E+15,75801,7.01E+09,7.00E+09,4.37E+08,7.60E+09,6.98E+09,7.29E+09,3.09E+08,12,-7.13E+09,7.13E+09,0,5,8,1,0,0,0.959718,0.919437,0,0,493320,3,3630,14451,0,14.5298,15.7458,0
 case9.petsc,14454,14454,0,1078.31,814.983,6338.56,75801,10028.3,9783.75,2201.36,4790.79,7254.77,5327.26,1996.98,12,-59781.8,59783.8,0,5,8,1,0,0,0.773854,0.547708,0,0,4.13614,3,3630,14451,0,19.6453,19.0132,0
 case9_A_02.petsc,14454,14454,0,4.51E+12,4.51E+12,4.51E+12,75801,2.55E+08,2.55E+08,27279.7,2.55E+08,2.55E+08,2.55E+08,11093.5,12,-2.57E+08,2.57E+08,0,5,8,1,0,0,0.999745,0.999489,0,0,17765.9,3,3630,14451,0,13.0042,14.114,0
 case9_A_03.petsc,14454,14454,0,1.83E+16,1.85E+16,1.83E+16,75801,1.63E+10,1.63E+10,1.01E+09,1.77E+10,1.63E+10,1.70E+10,7.16E+08,12,-1.64E+10,1.64E+10,0,5,8,1,0,0,0.959835,0.919671,0,0,1.13E+06,3,3630,14451,0,13.1298,14.4859,0
 case9_A_05.petsc,14454,14454,0,6.09E+22,6.12E+22,6.09E+22,75801,2.97E+13,2.97E+13,1.57E+12,3.19E+13,2.97E+13,3.08E+13,1.11E+12,12,-2.98E+13,2.98E+13,0,5,8,1,0,0,0.965461,0.930922,0,0,2.06E+09,3,3630,14451,0,14.1013,15.7987,0
 case9_A_06.petsc,14454,14454,0,3.20E+14,3.23E+14,3.20E+14,75801,2.16E+09,2.16E+09,1.41E+08,2.35E+09,2.15E+09,2.25E+09,9.99E+07,12,-2.20E+09,2.20E+09,0,5,8,1,0,0,0.957977,0.915954,0,0,151997,3,3630,14451,0,14.3398,15.9768,0
 case9_A_09.petsc,14454,14454,0,9.79E+15,9.87E+15,9.80E+15,75801,1.19E+10,1.19E+10,7.39E+08,1.29E+10,1.19E+10,1.24E+10,5.22E+08,12,-1.22E+10,1.22E+10,0,5,8,1,0,0,0.958734,0.917467,0,0,844637,3,3630,14451,0,14.7737,15.6729,0
 fp.petsc,7548,7548,8,1.06E+15,1.06E+15,1.50E+17,834222,3.41E+10,3.41E+10,4150.02,2.83E+09,2.83E+09,2.83E+09,2035.73,900,4.96E+11,4.96E+11,8,110,0,0,0,0,0.999999,0.999999,0,0,6.57E+07,2,7548,7543,7542,17.4522,17.4522,0
 onetone2.petsc,36057,36057,1,172.259,337.327,55772.9,222596,201832,147939,137296,8129.61,4387.52,4069.21,4063.41,32,-1.86E+06,1.86E+06,1,6,0,0,0,0,0.548342,0.0966844,0,0,51.494,3,9090,4221,3819,57.8732,59.4849,0
 onetone1.petsc,36057,36057,1,172.259,337.327,55772.9,335552,201832,147939,137296,8130.32,4387.52,4069.56,4063.76,80,-1.86E+06,1.86E+06,1,9,0,0,0,0,0.548339,0.0966778,0,0,51.494,3,9090,8505,8176,57.8732,59.4849,0
 pdb1HYS.petsc,36417,36417,1,1.84631,1.85512,1759.55,2190591,26667.6,26303.3,4393.09,696.304,745.227,539.437,294.474,184,4.71E+06,4.71E+06,1,60,5,1,0,0,0.721049,0.442099,0,0,129.263,2,36417,34064,0,8.84227,8.81472,0
 mac_econ_fwd500.petsc,206500,206500,1,103519,102169,147901,1273389,5.51E+06,3.90E+06,3.90E+06,185994,168167,92998.1,92998.1,44,5.22E+06,9.43E+06,1,6,0,0,0,0,0.507218,0.0144355,0,0,45.6579,3,22500,1242,2056,8.62035,10.8637,0
 cop20k_A.petsc,121192,121192,0,0.321379,0.360098,887.3,1362087,12912.8,12224.6,4159.08,565.253,507.709,454.579,272.453,24,1.73E+06,1.73E+06,0,11,395,1,0,0,0.693502,0.387004,0,0,14.2502,1,99843,121040,0,18.8616,18.9431,0
 aft01.petsc,8205,8205,1,1.22E+26,1.22E+26,1.22E+26,66886,1.00E+15,1.00E+15,1416.57,1.00E+15,1.00E+15,1.00E+15,456.712,11,1.00E+15,1.00E+15,1,8,2,1,0,0,1,1,0,0,1.22E+11,2,8205,154,0,14.2439,13.584,0
 av41092.petsc,41092,41092,2,0.0130872,0.0046036,0.000244203,1683902,581.83,411.424,411.408,237.026,1050.87,592.917,591.455,2135,7.44784,18.689,2,40,0,0,0,0,0.500125,0.000249306,0,0,0.000454809,3,64,31055,24024,22.9605,22.9604,0
 s2rmt3m1.petsc,5489,5489,1,346979,356042,2.13E+08,111585,1.52E+06,1.43E+06,505349,84355.7,74381.3,79368.5,39829.4,24,5.89E+07,5.89E+07,1,20,1,1,0,0,0.719848,0.439696,0,0,10726.6,2,5489,191,0,54.0909,53.7899,0
 s2rmq4m1.petsc,5489,5489,1,155432,155432,9.46E+07,134420,996045,947512,307128,52852.9,52847.1,52850,26490.6,30,3.95E+07,3.95E+07,1,24,1,1,0,0,0.736163,0.472327,0,0,7192.82,2,5489,191,0,21.5957,21.5957,0
 s3rmt3m1.petsc,5489,5489,1,3620.71,3690.48,2.33E+06,111579,157780,149185,51364.2,8295.15,7419.92,7857.53,3793.42,24,6.13E+06,6.13E+06,1,20,1,1,0,0,0.725581,0.451162,0,0,1116.75,2,5489,191,0,54.3069,54.3069,0
 s3rmt3m3.petsc,5357,5357,1,4389.36,3854.55,1.91E+06,106240,143197,135103,47461.5,9984.46,10023.2,7856,3792.93,36,5.55E+06,5.55E+06,1,19,7,1,0,0,0.72501,0.45002,0,0,1035.96,2,5357,5302,0,54.5591,54.5609,0
 s1rmq4m1.petsc,5489,5489,1,1.55E+07,1.55E+07,9.50E+09,133950,1.05E+07,1.01E+07,2.96E+06,528795,528738,528767,265907,30,4.76E+08,4.76E+08,1,24,1,1,0,0,0.757546,0.515091,0,0,86760.3,2,5489,191,0,19.5988,19.8144,0
 s3rmq4m1.petsc,5489,5489,1,1613.19,1613.19,1.03E+06,134216,103331,98479.9,31288.5,5260.17,5259.47,5259.82,2550.41,30,4.09E+06,4.09E+06,1,24,1,1,0,0,0.738496,0.476993,0,0,744.523,2,5489,191,0,23.4906,23.4906,0
 s1rmt3m1.petsc,5489,5489,1,3.46E+07,3.55E+07,2.13E+10,111570,1.60E+07,1.53E+07,4.92E+06,844961,743996,794478,400189,24,7.09E+08,7.09E+08,1,20,1,1,0,0,0.745094,0.490188,0,0,129179,2,5489,191,0,50.5742,50.5742,0
 consph.petsc,83334,83334,1,7201.16,7546.77,1.10E+07,3046907,1.63E+06,1.49E+06,670603,88783.4,86285.6,59792.1,44705.9,66,2.65E+08,2.65E+08,1,36,3657,1,0,0,0.641918,0.283837,0,0,3185.75,2,83334,44024,0,10.1037,10.114,0
 cant.petsc,62451,62451,1,913.337,913.337,3.95E+06,2034917,1.56E+06,1.51E+06,407468,17387.8,17387.8,17387.8,10336.5,40,3.41E+08,3.41E+08,1,32,244,1,0,0,0.701276,0.402552,0,0,5453.28,2,62451,275,0,19.8031,19.8031,0
 chem_master1.petsc,40401,40401,3,171.022,170.528,14232.5,201201,413911,406397,78511.3,4419.59,4429.59,4424.59,1775.71,5,7.16E+07,7.16E+07,3,4,0,0,0,0,0.910201,0.820402,0,2,1773.39,2,40401,201,201,2.5886,2.58969,0
 Baumann.petsc,112211,112211,3,1843.81,2888.21,861733,748331,550458,496729,237201,25895.8,19624.9,22339,9390.96,7,8.81E+07,9.60E+07,3,6,0,0,0,0,0.842281,0.684561,0,0,855.937,3,112211,1111,1111,4.38636,4.38638,0
 Zd_Jac3.petsc,22835,22835,1,9.28E+18,7.45E+18,0.0617694,1915726,4.60E+11,3.26E+11,3.26E+11,4.12E+11,6.47E+11,3.24E+11,3.24E+11,1050,-63.7717,81.8048,1,83,0,0,0,0,0.5,1.31E-10,0,0,0.00358243,3,7,20403,14761,33.6863,26.043,0
 Zd_Jac2.petsc,22835,22835,1,8.70E+18,5.22E+18,0.0624267,1642407,4.46E+11,3.15E+11,3.15E+11,3.45E+11,6.48E+11,3.24E+11,3.24E+11,924,-64.0684,82.0954,1,71,0,0,0,0,0.5,1.22E-10,0,0,0.00359515,3,7,20403,14761,33.8412,29.529,0
 meg4.petsc,5860,5860,1,7.71E+06,7.71E+06,1.54E+08,15532,981752,979305,69282,212573,212573,212573,5000,1169,1.79E+07,1.79E+07,1,2,497,1,0,0,0.958882,0.917764,0,1,3047.24,1,5806,5762,0,11.0908,9.85387,0
 nasa1824.petsc,1824,1824,1,6.53E+10,9.88E+10,1.27E+12,20516,6.46E+07,5.98E+07,2.43E+07,2.96E+07,2.20E+07,2.14E+07,1.07E+07,31,1.10E+09,1.10E+09,1,11,3,1,0,0,0.730633,0.461266,0,0,605611,2,1824,239,0,16.9004,17.1611,0
 nasasrb.petsc,54870,54870,1,2.92E+13,2.92E+13,2.38E+15,1366097,1.57E+10,1.42E+10,6.79E+09,3.62E+09,3.67E+09,2.45E+09,1.61E+09,57,1.17E+12,1.17E+12,1,24,5,1,0,0,0.690567,0.381134,0,0,2.14E+07,2,54870,893,0,21.5251,20.5609,0
