% Generated on 2015-06-10 14:15:38,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod"
lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,lee96-lbound,ritz-values-c,nnzeros,lee96-ubound,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,commutator-normF,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, solver, class
?,257,13,?,17,14,29,?,13,-1.000739,?,19539,2.431743,89.06944,42211,-0.7071068,?,254,3.232785,2.435408,257,18609,?,0.5615694,-6.351243,?,?,3.871606,27.3743,48.0692,?,-0.7071068,25.08429,1718.402,0.8682056,?,42211,1498.705,3060,254,0.1333333,-1718.402,1,79.47038,-2,25.08429,3060,?,?,11,0.5591434,0.2777433,36.95987,19612,72,2.606434,1,473.4939,15,?,20696.07,2.540651,0.8714576,0.7406906,-0.8638684,55.31727,6.351243,38.71311,-0.0001663285,3060,1561.295,68908713,bad
?,257,13,?,17,14,29,?,13,-1.000739,?,19539,2.431743,89.06944,42211,-0.7071068,?,254,3.232785,2.435408,257,18609,?,0.5615694,-6.351243,?,?,3.871606,27.3743,48.0692,?,-0.7071068,25.08429,1718.402,0.8682056,?,42211,1498.705,3060,254,0.1333333,-1718.402,1,79.47038,-2,25.08429,3060,?,?,11,0.5591434,0.2777433,36.95987,19612,72,2.606434,1,473.4939,15,?,20696.07,2.540651,0.8714576,0.7406906,-0.8638684,55.31727,6.351243,38.71311,-0.0001663285,3060,1561.295,36564232,bad
?,5307,5,?,?,2780,15,?,5,-41.09972,?,9764,64062.2,2427.571,28869,1.686611e-07,?,4535,49243.2,21404.59,5307,23467,?,2.379213e-05,-97101.38,?,?,48550.7,175836.1,175836.1,?,41.09655,27.83406,0.1262886,?,?,28869,?,2797,4535,0.5,0.08386969,2,?,?,26.08,5308,?,?,6,0.1871211,0.001471179,248669.4,13797,8313,64103.37,?,1.188687,240,?,12699910.0,48550.7,40.71716,36.8352,0.1740776,248669.8,97101.38,248669.8,41.09655,5308,4034.228,89565283,good
?,4535,4,?,?,2358,13,?,4,2.710505e-19,?,9622,2903055.0,2407.734,24809,2.710505e-19,?,5307,2306860.0,939970.9,4535,?,?,0.03483541,-4548316.0,?,?,?,?,?,?,2.710505e-19,28.73782,184.9063,?,?,24809,?,2386,5307,0.4833333,184.9063,2,?,1,26.20832,5308,?,?,6,?,2.52404,8698384.0,9879,7952,3003055.0,?,199.3481,240,?,14946190.0,?,662.3,100000.0,-38.449,8699536.0,4548316.0,?,490.1379,5308,?,89565283,bad
?,4535,4,?,?,2358,13,?,4,2.710505e-19,?,9622,2903055.0,2407.734,24809,2.710505e-19,?,5307,2306860.0,939970.9,4535,?,?,0.03483541,-4548316.0,?,?,?,?,?,?,2.710505e-19,28.73782,184.9063,?,?,24809,?,2386,5307,0.4833333,184.9063,2,?,1,26.20832,5308,?,?,6,?,2.52404,8698384.0,9879,7952,3003055.0,?,199.3481,240,?,14946190.0,?,662.3,100000.0,-38.449,8699536.0,4548316.0,?,490.1379,5308,?,68908713,bad
?,4535,4,?,?,2358,13,?,4,1.843144e-18,?,9614,2934796.0,2407.744,24791,1.843144e-18,?,5307,2331310.0,1010697.0,4535,19417,?,0.03438987,-4597404.0,?,?,2298703.0,6166556.0,6164934.0,?,1.843144e-18,29.49899,182.5414,?,?,24791,?,2386,5307,0.5083333,182.5414,2,?,1,30.09026,5308,?,?,6,0.2167722,2.491584,8718531.0,9869,7950,3034796.0,?,174.474,240,?,14948420.0,2298703.0,883.7871,100000.0,-290.8916,8719681.0,4597404.0,8718534.0,490.2122,5308,-20000880000.0,89565283,good
?,5307,5,?,?,2780,15,?,5,-38.71383,?,9762,60523.49,2427.536,28847,-2.386015e-07,?,4535,46523.68,20159.75,5307,23445,?,2.23279e-05,-91745.92,?,?,45872.97,165749.5,165749.5,?,38.71082,29.49883,0.1185165,?,?,28847,?,2797,4535,0.5,0.07860444,2,?,?,27.77095,5308,?,?,6,0.1872638,0.001380082,234404.9,13777,8308,60562.47,?,1.288774,240,?,12701570.0,45872.97,38.84442,33.76472,-0.1228329,234405.2,91745.92,234405.2,38.71082,5308,3578.536,89565283,good
?,4535,4,?,?,2358,13,?,4,1.246832e-18,?,9622,2922392.0,2407.734,24809,1.246832e-18,?,5307,2321754.0,940596.5,4535,?,?,0.03460328,-4578208.0,?,?,?,?,?,?,1.246832e-18,29.05739,183.6742,?,?,24809,?,2386,5307,0.5,183.6742,2,?,1,26.68532,5308,?,?,6,?,2.507131,8672595.0,9879,7952,3022392.0,?,237.2332,240,?,14946190.0,?,661.6046,100000.0,-38.81548,8673751.0,4578208.0,?,489.7917,5308,?,89565283,good
?,4535,4,?,?,2358,13,?,4,4.87891e-19,?,9615,2922392.0,2407.734,24801,4.87891e-19,?,5307,2321754.0,940596.5,4535,?,?,0.03460328,-4578208.0,?,?,?,?,?,?,4.87891e-19,27.37574,183.6742,?,?,24801,?,2386,5307,0.5,183.6742,2,?,1,27.43293,5308,?,?,6,?,2.507131,8672619.0,9878,7952,3022392.0,?,237.9745,240,?,14946190.0,?,661.6054,100000.0,-38.81464,8673775.0,4578208.0,?,489.7917,5308,?,89565283,good
?,4535,4,?,?,2358,13,?,4,?,?,9622,2921781.0,2408.001,24816,?,?,5307,2321284.0,1009534.0,4535,19442,?,0.03443932,-4577270.0,?,?,2288636.0,6083032.0,6081388.0,?,?,28.90271,182.8039,?,?,24816,?,2386,5307,0.5,182.8039,2,?,1,26.8236,5308,?,?,6,0.2165538,2.495187,8600378.0,9886,7953,3021781.0,?,186.7517,240,?,14946320.0,2288636.0,537.5778,100000.0,-2.26256,8601543.0,4577270.0,8600381.0,490.4894,5308,-20000880000.0,89565283,bad
?,4535,4,?,?,2358,13,?,4,?,?,9622,2921781.0,2408.001,24816,?,?,5307,2321284.0,1009534.0,4535,19442,?,0.03443932,-4577270.0,?,?,2288636.0,6083032.0,6081388.0,?,?,28.90271,182.8039,?,?,24816,?,2386,5307,0.5,182.8039,2,?,1,26.8236,5308,?,?,6,0.2165538,2.495187,8600378.0,9886,7953,3021781.0,?,186.7517,240,?,14946320.0,2288636.0,537.5778,100000.0,-2.26256,8601543.0,4577270.0,8600381.0,490.4894,5308,-20000880000.0,36564232,bad
?,4535,4,?,?,2358,13,?,4,-6.505213e-19,?,9619,2921781.0,2407.453,24812,-6.505213e-19,?,5307,2321284.0,1009534.0,4535,19438,?,0.03443932,-4577270.0,?,?,2288636.0,6083068.0,6081424.0,?,457.5238,29.65389,182.8039,?,?,24812,?,2386,5307,0.5083333,182.8039,2,?,1,29.02894,5308,?,?,6,0.2165887,2.495187,8600429.0,9885,7951,3021781.0,?,186.7466,240,?,14939620.0,2288636.0,537.5907,100000.0,-2.262548,8601595.0,4577270.0,8600432.0,490.4894,5308,-20000880000.0,89565283,good
?,5307,5,?,?,2780,15,?,5,-29.27294,?,9766,45459.15,2427.286,28862,-1.962222e-07,?,4535,45472.32,14452.78,5307,23460,?,1.700161e-05,-68905.43,?,?,34452.72,128300.2,128300.2,?,29.27042,27.38287,0.09024454,?,?,28862,?,2797,4535,0.5,0.06013688,2,?,?,27.27156,5308,?,?,6,0.1871665,0.001052389,181443.6,13788,8312,45489.36,?,1.193763,240,?,12699510.0,34452.72,29.38235,26.10338,-0.8194466,181443.9,68905.43,181443.9,29.27042,5308,2047.704,89565283,bad
?,4535,4,?,?,2358,13,?,4,1.409463e-18,?,9622,2934796.0,2408.001,24809,1.409463e-18,?,5307,2331310.0,1010697.0,4535,19435,?,0.03438987,-4597404.0,?,?,2298703.0,6166573.0,6164951.0,?,1.409463e-18,29.49455,182.5414,?,?,24809,?,2386,5307,0.55,182.5414,2,?,1,27.02648,5308,?,?,6,0.2166149,2.491584,8718555.0,9879,7953,3034796.0,?,195.2486,240,?,14946320.0,2298703.0,557.399,100000.0,-29.88834,8719705.0,4597404.0,8718558.0,490.2122,5308,-20000880000.0,89565283,bad
?,1087,4,?,?,1,12,?,4,314.8703,?,1926,209020.6,496.4013,5315,-0.0001522959,?,929,300005.0,194986.0,1087,4164,?,0.0009182736,-200001.0,?,?,150003.5,549529.4,549529.3,?,314.8703,6.0,1.0,?,?,5315,?,563,929,0.5,1.0,2,?,1,5.309361,1089,?,?,6,0.2165569,0.03028911,777133.1,2300,1637,209349.7,?,2.114725,240,?,526216.3,150003.5,314.1149,308.0904,0.7554637,777151.9,200001.0,777151.8,314.8703,1089,-21079.85,89565283,bad
?,1087,4,?,?,1,12,?,4,314.8703,?,1926,209020.6,496.4013,5315,-0.0001522959,?,929,300005.0,194986.0,1087,4164,?,0.0009182736,-200001.0,?,?,150003.5,549529.4,549529.3,?,314.8703,6.0,1.0,?,?,5315,?,563,929,0.5,1.0,2,?,1,5.309361,1089,?,?,6,0.2165569,0.03028911,777133.1,2300,1637,209349.7,?,2.114725,240,?,526216.3,150003.5,314.1149,308.0904,0.7554637,777151.9,200001.0,777151.8,314.8703,1089,-21079.85,49598909,bad
?,1087,4,?,?,1,12,?,4,314.8703,?,1926,209020.6,496.4013,5315,-0.0001522959,?,929,300005.0,194986.0,1087,4164,?,0.0009182736,-200001.0,?,?,150003.5,549529.4,549529.3,?,314.8703,6.0,1.0,?,?,5315,?,563,929,0.5,1.0,2,?,1,5.309361,1089,?,?,6,0.2165569,0.03028911,777133.1,2300,1637,209349.7,?,2.114725,240,?,526216.3,150003.5,314.1149,308.0904,0.7554637,777151.9,200001.0,777151.8,314.8703,1089,-21079.85,68908713,bad
?,1087,4,?,?,1,12,?,4,314.8703,?,1926,209020.6,496.4013,5315,-0.0001522959,?,929,300005.0,194986.0,1087,4164,?,0.0009182736,-200001.0,?,?,150003.5,549529.4,549529.3,?,314.8703,6.0,1.0,?,?,5315,?,563,929,0.5,1.0,2,?,1,5.309361,1089,?,?,6,0.2165569,0.03028911,777133.1,2300,1637,209349.7,?,2.114725,240,?,526216.3,150003.5,314.1149,308.0904,0.7554637,777151.9,200001.0,777151.8,314.8703,1089,-21079.85,36564232,bad
?,4259,40,?,?,8485,148,?,40,-2.056688e-14,?,119972,?,3150.77,433071,-2.056688e-14,?,4291,18.43538,?,4259,?,?,2.401156e-07,-18.43542,?,?,?,?,?,?,-5.694618e-07,23.44316,0.002546426,?,?,433071,?,10605,4291,0.4,-0.002546426,2,?,-1,23.90546,10605,?,?,22,?,5.606368e-07,0.03112951,302494,4407,?,?,1.287311,10,?,20552490.0,?,0.001543217,3.668682,-0.001137027,353.7695,18.43542,?,9.919843e-14,10605,?,89565283,bad
?,4259,40,?,?,8485,148,?,40,-2.056688e-14,?,119972,?,3150.77,433071,-2.056688e-14,?,4291,18.43538,?,4259,?,?,2.401156e-07,-18.43542,?,?,?,?,?,?,-5.694618e-07,23.44316,0.002546426,?,?,433071,?,10605,4291,0.4,-0.002546426,2,?,-1,23.90546,10605,?,?,22,?,5.606368e-07,0.03112951,302494,4407,?,?,1.287311,10,?,20552490.0,?,0.001543217,3.668682,-0.001137027,353.7695,18.43542,?,9.919843e-14,10605,?,68908713,bad
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.6280655,460.3435,5976,0.1818182,?,864,5.727292,1.090976,864,?,?,0.2578103,-1.0,?,?,?,?,?,?,2.87165,77.12001,314.5286,?,?,5976,?,1154,864,0.5128205,314.5286,2,?,1,77.12001,1220,?,?,5,?,0.2616685,0.0007024671,2638,1601,2.871659,?,6.203483,39,?,475474.4,?,1.93583,?,0.9358295,18.80816,5.727291,?,2.871659,1220,?,36564232,good
?,?,10,?,75,1,30,1,10,3.066326e-08,?,?,7.836285e-08,1858.142,178896,1.001778e-10,?,5142,3.001561e-07,1.02315e-07,?,?,?,4.146915e-09,-1.074196e-07,?,?,?,?,?,?,2.067254e-10,27.79945,7.19946e-05,?,?,178896,?,17361,5142,1.0,7.19946e-05,1,?,2,27.79945,17361,?,?,12,?,8.438997e-09,8.689076e-07,161535,1198,1.294366e-07,1,3.159291,55,?,15092440.0,?,2.643794e-08,8.508748e-09,4.923391e-08,1.513258e-06,2.309701e-07,?,7.567185e-08,17361,?,89565283,good
?,?,10,?,75,1,30,1,10,3.066326e-08,?,?,7.836285e-08,1858.142,178896,1.001778e-10,?,5142,3.001561e-07,1.02315e-07,?,?,?,4.146915e-09,-1.074196e-07,?,?,?,?,?,?,2.067254e-10,27.79945,7.19946e-05,?,?,178896,?,17361,5142,1.0,7.19946e-05,1,?,2,27.79945,17361,?,?,12,?,8.438997e-09,8.689076e-07,161535,1198,1.294366e-07,1,3.159291,55,?,15092440.0,?,2.643794e-08,8.508748e-09,4.923391e-08,1.513258e-06,2.309701e-07,?,7.567185e-08,17361,?,68908713,bad
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.5370867,460.3435,5976,0.1818182,?,864,5.727274,0.9999986,864,?,?,0.2578098,-1.0,?,?,?,?,?,?,2.87165,77.12,314.528,?,?,5976,?,1154,864,0.7012987,314.528,2,?,1,77.12,1220,?,?,5,?,0.2616686,3.583091e-05,2638,1601,2.871652,?,6.203451,77,?,475474.4,?,1.935826,?,0.9358258,18.80816,5.727273,?,2.871652,1220,?,89565283,good
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.5370867,460.3435,5976,0.1818182,?,864,5.727274,0.9999986,864,?,?,0.2578098,-1.0,?,?,?,?,?,?,2.87165,77.12,314.528,?,?,5976,?,1154,864,0.7012987,314.528,2,?,1,77.12,1220,?,?,5,?,0.2616686,1.169915e-05,2638,1601,2.871652,?,6.203451,77,?,475474.4,?,1.935826,?,0.9358258,18.80816,5.727273,?,2.871652,1220,?,89565283,good
?,694,31,?,9443,10430,224,?,31,329369800.0,?,388309,659102600.0,315.2407,713907,-0.1802545,?,694,2667452000.0,514141300.0,694,463050,?,106216.8,-893608100.0,?,?,1780243000.0,2168157000.0,2435557000.0,?,81758700.0,22.18478,2425460000.0,669188800.0,?,713907,9.401813e+18,22835,694,0.5263158,1263957000.0,1,4.317978e+18,?,22.25295,22835,?,?,52,0.3513861,5862827.0,3064542000.0,302763,1242,1194120000.0,1,367.9052,57,?,187703.8,1517265000.0,517708500.0,16274270.0,-17309270.0,3260804000.0,893608100.0,3066238000.0,500399300.0,22835,1.23103e+18,89565283,good
?,694,31,?,9443,10430,224,?,31,329369800.0,?,388309,659102600.0,315.2407,713907,-0.1802545,?,694,2667452000.0,514141300.0,694,463050,?,106216.8,-893608100.0,?,?,1780243000.0,2168157000.0,2435557000.0,?,81758700.0,22.18478,2425460000.0,669188800.0,?,713907,9.401813e+18,22835,694,0.5263158,1263957000.0,1,4.317978e+18,?,22.25295,22835,?,?,52,0.3513861,5862827.0,3064542000.0,302763,1242,1194120000.0,1,367.9052,57,?,187703.8,1517265000.0,517708500.0,16274270.0,-17309270.0,3260804000.0,893608100.0,3066238000.0,500399300.0,22835,1.23103e+18,68908713,bad
?,2941,10,?,?,1497,74,?,10,-58.8717,?,11228,8439797000.0,1381.141,30582,6.113215e-09,?,2745,12405480000.0,9607705.0,2941,?,?,1.773047e-05,-6503089000.0,?,?,?,?,?,?,58.8713,127.6996,0.05333324,?,?,30582,?,1498,2745,0.5125,0.05333324,2,?,1,127.6996,3008,?,?,7,?,0.00097227,9482058000.0,16346,4546,8439797000.0,?,3.988377,240,?,4793380.0,?,58.87178,58.87192,-4.6875e-06,9482058000.0,6503089000.0,?,58.8717,3008,?,89565283,good
?,2941,10,?,?,1497,74,?,10,-58.8717,?,11228,8439797000.0,1381.141,30582,6.113215e-09,?,2745,12405480000.0,9607705.0,2941,?,?,1.773047e-05,-6503089000.0,?,?,?,?,?,?,58.8713,127.6996,0.05333324,?,?,30582,?,1498,2745,0.5125,0.05333324,2,?,1,127.6996,3008,?,?,7,?,0.00097227,9482058000.0,16346,4546,8439797000.0,?,3.988377,240,?,4793380.0,?,58.87178,58.87192,-4.6875e-06,9482058000.0,6503089000.0,?,58.8717,3008,?,49598909,bad
?,3082,7,?,?,1509,35,?,7,-0.01020815,?,11260,1212854000.0,1371.345,24295,6.515574e-08,?,2857,1212874000.0,755478000.0,3082,20764,?,0.0003801519,-1214889000.0,?,?,607444400.0,2424359000.0,2424359000.0,?,0.01,47.45047,1.172008,?,?,24295,?,1556,2857,0.475,1.172008,2,?,?,47.45047,3083,?,?,8,0.1453385,0.02090218,3428561000.0,9952,4682,1212854000.0,?,3.480313,240,?,3962256.0,607444400.0,30.71793,29.54591,-2.718866,3428561000.0,1214889000.0,3428561000.0,17.6679,3083,5.208571,89565283,bad
?,3082,7,?,?,1509,35,?,7,-0.01020815,?,11260,1212854000.0,1371.345,24295,6.515574e-08,?,2857,1212874000.0,755478000.0,3082,20764,?,0.0003801519,-1214889000.0,?,?,607444400.0,2424359000.0,2424359000.0,?,0.01,47.45047,1.172008,?,?,24295,?,1556,2857,0.475,1.172008,2,?,?,47.45047,3083,?,?,8,0.1453385,0.02090218,3428561000.0,9952,4682,1212854000.0,?,3.480313,240,?,3962256.0,607444400.0,30.71793,29.54591,-2.718866,3428561000.0,1214889000.0,3428561000.0,17.6679,3083,5.208571,49598909,bad
?,3082,7,?,?,1509,35,?,7,-0.01020815,?,11260,1212854000.0,1371.345,24295,6.515574e-08,?,2857,1212874000.0,755478000.0,3082,20764,?,0.0003801519,-1214889000.0,?,?,607444400.0,2424359000.0,2424359000.0,?,0.01,47.45047,1.172008,?,?,24295,?,1556,2857,0.475,1.172008,2,?,?,47.45047,3083,?,?,8,0.1453385,0.02090218,3428561000.0,9952,4682,1212854000.0,?,3.480313,240,?,3962256.0,607444400.0,30.71793,29.54591,-2.718866,3428561000.0,1214889000.0,3428561000.0,17.6679,3083,5.208571,68908713,bad
?,3082,7,?,?,1509,35,?,7,-0.01020815,?,11260,1212854000.0,1371.345,24295,6.515574e-08,?,2857,1212874000.0,755478000.0,3082,20764,?,0.0003801519,-1214889000.0,?,?,607444400.0,2424359000.0,2424359000.0,?,0.01,47.45047,1.172008,?,?,24295,?,1556,2857,0.475,1.172008,2,?,?,47.45047,3083,?,?,8,0.1453385,0.02090218,3428561000.0,9952,4682,1212854000.0,?,3.480313,240,?,3962256.0,607444400.0,30.71793,29.54591,-2.718866,3428561000.0,1214889000.0,3428561000.0,17.6679,3083,5.208571,36564232,good
?,2941,10,?,?,1497,74,?,10,-5.508523,?,11228,789697200.0,1381.141,30582,9.953534e-13,?,2745,1160759000.0,898976.3,2941,27388,?,1.659009e-06,-608482800.0,?,?,580379700.0,627359100.0,627359100.0,?,5.508515,59.49158,0.004990299,?,?,30582,?,1498,2745,0.475,0.004990299,2,?,1,59.49158,3008,?,?,7,0.1044405,9.097361e-05,887219700.0,16346,4546,789697200.0,?,3.610837,240,?,4793380.0,580379700.0,5.50858,5.508585,-7.672944e-06,887219700.0,608482800.0,887219700.0,5.508523,3008,0.001023532,89565283,bad
?,2941,10,?,?,1497,74,?,10,-5.508523,?,11228,789697200.0,1381.141,30582,9.953534e-13,?,2745,1160759000.0,898976.3,2941,27388,?,1.659009e-06,-608482800.0,?,?,580379700.0,627359100.0,627359100.0,?,5.508515,59.49158,0.004990299,?,?,30582,?,1498,2745,0.475,0.004990299,2,?,1,59.49158,3008,?,?,7,0.1044405,9.097361e-05,887219700.0,16346,4546,789697200.0,?,3.610837,240,?,4793380.0,580379700.0,5.50858,5.508585,-7.672944e-06,887219700.0,608482800.0,887219700.0,5.508523,3008,0.001023532,49598909,good
?,2941,9,?,?,1497,74,?,9,17419.48,?,11488,2.497242e+12,1381.255,31102,-3.423875e-06,?,3008,3.670644e+12,2842813000.0,2941,27648,?,0.004828859,-1.924191e+12,?,?,1.835322e+12,1.983884e+12,1.983884e+12,?,17419.48,111.0801,15.78071,?,?,31102,?,1498,3008,0.45,-15.78071,2,?,-1,113.3405,3268,?,?,7,0.111054,0.2760064,2.805635e+12,16346,4550,2.497242e+12,?,3.72918,240,?,4789336.0,1.835322e+12,17419.48,17419.48,3.082641e-07,2.805635e+12,1.924191e+12,2.805635e+12,17419.48,3268,10235.31,89565283,good
?,2941,9,?,?,1497,74,?,9,17419.48,?,11488,2.497242e+12,1381.255,31102,-3.423875e-06,?,3008,3.670644e+12,2842813000.0,2941,27648,?,0.004828859,-1.924191e+12,?,?,1.835322e+12,1.983884e+12,1.983884e+12,?,17419.48,111.0801,15.78071,?,?,31102,?,1498,3008,0.45,-15.78071,2,?,-1,113.3405,3268,?,?,7,0.111054,0.2760064,2.805635e+12,16346,4550,2.497242e+12,?,3.72918,240,?,4789336.0,1.835322e+12,17419.48,17419.48,3.082641e-07,2.805635e+12,1.924191e+12,2.805635e+12,17419.48,3268,10235.31,49598909,bad
?,20544,8,?,?,11031,35,?,8,-6906.457,?,85858,3379597000.0,9171.338,179627,-1.097165e-07,?,20446,3379670000.0,699775400.0,20544,158830,?,?,-3388250000.0,?,?,1694125000.0,5332903000.0,5332903000.0,?,6906.457,255.4039,?,?,?,179627,?,?,20446,0.475,?,2,?,10,257.1909,20545,?,?,9,0.1157788,?,7541864000.0,73224,31531,3379604000.0,?,9.845392,240,?,161718100.0,1694125000.0,6906.457,5981.167,7.442618e-07,7541864000.0,3388250000.0,7541864000.0,6906.457,20545,150555.7,89565283,good
?,20544,8,?,?,11031,35,?,8,-6906.457,?,85858,3379597000.0,9171.338,179627,-1.097165e-07,?,20446,3379670000.0,699775400.0,20544,158830,?,?,-3388250000.0,?,?,1694125000.0,5332903000.0,5332903000.0,?,6906.457,255.4039,?,?,?,179627,?,?,20446,0.475,?,2,?,10,257.1909,20545,?,?,9,0.1157788,?,7541864000.0,73224,31531,3379604000.0,?,9.845392,240,?,161718100.0,1694125000.0,6906.457,5981.167,7.442618e-07,7541864000.0,3388250000.0,7541864000.0,6906.457,20545,150555.7,49598909,bad
?,2941,9,?,?,1497,74,?,9,-17419.48,?,11488,2.497242e+12,1381.255,31102,-1.789008e-10,?,3008,3.670644e+12,2842813000.0,2941,27648,?,0.004828859,-1.924191e+12,?,?,1.835322e+12,1.983884e+12,1.983884e+12,?,17419.48,47.50547,15.78071,?,?,31102,?,1498,3008,0.5,-15.78071,2,?,-1,49.65997,3268,?,?,7,0.111054,0.2760064,2.805635e+12,16346,4550,2.497242e+12,?,3.72585,240,?,4789336.0,1.835322e+12,17419.59,17419.58,0.0001468905,2.805635e+12,1.924191e+12,2.805635e+12,17419.48,3268,10245.64,89565283,good
?,2941,9,?,?,1497,74,?,9,-17419.48,?,11488,2.497242e+12,1381.255,31102,-1.789008e-10,?,3008,3.670644e+12,2842813000.0,2941,27648,?,0.004828859,-1.924191e+12,?,?,1.835322e+12,1.983884e+12,1.983884e+12,?,17419.48,47.50547,15.78071,?,?,31102,?,1498,3008,0.5,-15.78071,2,?,-1,49.65997,3268,?,?,7,0.111054,0.2760064,2.805635e+12,16346,4550,2.497242e+12,?,3.72585,240,?,4789336.0,1.835322e+12,17419.59,17419.58,0.0001468905,2.805635e+12,1.924191e+12,2.805635e+12,17419.48,3268,10245.64,49598909,bad
?,13934,5,?,?,7415,23,?,5,-0.0226699,?,32583,125999.9,6493.718,77610,-0.0226699,?,11975,126001.0,1.000018,13934,?,?,3.053411e-07,-126000.1,?,?,?,?,?,?,0.02247728,30.47297,0.004254929,?,?,77610,?,13866,11975,0.4958333,-0.004254011,2,?,?,30.47297,13935,?,?,7,?,3.595469e-05,129559.5,31092,22373,126000.0,?,2.338928,240,?,86228470.0,?,0.05191932,0.02960415,-0.009845508,129559.5,126000.1,?,0.02278863,13935,?,89565283,good
?,13934,5,?,?,7415,23,?,5,-0.0226699,?,32583,125999.9,6493.718,77610,-0.0226699,?,11975,126001.0,1.000018,13934,?,?,3.053411e-07,-126000.1,?,?,?,?,?,?,0.02247728,30.47297,0.004254929,?,?,77610,?,13866,11975,0.4958333,-0.004254011,2,?,?,30.47297,13935,?,?,7,?,3.595469e-05,129559.5,31092,22373,126000.0,?,2.338928,240,?,86228470.0,?,0.05191932,0.02960415,-0.009845508,129559.5,126000.1,?,0.02278863,13935,?,49598909,bad
?,6746,9,?,?,3615,35,?,9,-622.152,?,28014,541600600.0,2954.932,62934,-622.152,?,5499,541830200.0,128105700.0,6746,56011,?,0.0001630509,-543846600.0,?,?,271923300.0,3174815000.0,3174815000.0,?,640.2374,152.0121,1.100104,?,?,62934,?,3667,5499,0.475,-1.079034,2,?,?,150.747,6747,?,?,8,0.1100041,0.01314314,4489867000.0,28173,10611,541601800.0,?,1.241919,240,?,17305330.0,271923300.0,1185.056,1189.775,6.999733,4489867000.0,543846600.0,4489867000.0,640.2374,6747,-22444.72,89565283,good
?,6746,9,?,?,3615,35,?,9,-622.152,?,28014,541600600.0,2954.932,62934,-622.152,?,5499,541830200.0,128105700.0,6746,56011,?,0.0001630509,-543846600.0,?,?,271923300.0,3174815000.0,3174815000.0,?,640.2374,152.0121,1.100104,?,?,62934,?,3667,5499,0.475,-1.079034,2,?,?,150.747,6747,?,?,8,0.1100041,0.01314314,4489867000.0,28173,10611,541601800.0,?,1.241919,240,?,17305330.0,271923300.0,1185.056,1189.775,6.999733,4489867000.0,543846600.0,4489867000.0,640.2374,6747,-22444.72,49598909,bad
?,1801,6,?,?,76,1310,?,6,1.639906,?,5680,0.05280058,793.8216,11255,0.0003510933,?,1763,2.932791,0.07590033,1801,?,?,0.003657814,-1.02048,?,?,?,?,?,?,1.639906,248.7111,6.631616,?,?,11255,?,1813,1763,0.7142857,6.631616,2,?,1,248.7111,1813,?,?,7,?,0.02695486,0.02580104,3762,3127,1.639951,?,70.99239,98,?,1328154.0,?,1.319953,?,0.319953,4.420132,2.94475,?,1.639906,1813,?,89565283,bad
?,1801,6,?,?,76,1310,?,6,1.639906,?,5680,0.05280058,793.8216,11255,0.0003510933,?,1763,2.932791,0.07590033,1801,?,?,0.003657814,-1.02048,?,?,?,?,?,?,1.639906,248.7111,6.631616,?,?,11255,?,1813,1763,0.7142857,6.631616,2,?,1,248.7111,1813,?,?,7,?,0.02695486,0.02580104,3762,3127,1.639951,?,70.99239,98,?,1328154.0,?,1.319953,?,0.319953,4.420132,2.94475,?,1.639906,1813,?,49598909,bad
?,?,11,?,3,1,31,1,11,1115265.0,?,?,9421596.0,107.229,20516,1508.661,?,239,29625580.0,9422353.0,?,?,?,605611.3,-6556837.0,?,?,?,?,?,?,2769.759,17.16111,1104635000.0,?,?,20516,?,1824,239,1.0,1104635000.0,1,?,2,16.90036,1824,?,?,11,?,1126447.0,34408470.0,18692,214,16027160.0,1,14061.46,53,?,49978.51,?,5320363.0,920963.4,5321120.0,64555130.0,22035610.0,?,10641480.0,1824,?,89565283,bad
