matrix,row-variability:variance,diagonal-average:variance,upband:iprs,nnzlow:iprs,lambda-min-by-magnitude-re:lapack,avgdistfromdiag:iprs,avgnnzprow:iprs,lambda-max-by-im-part-im:spectrum,normF:simple,lambda-max-by-real-part-im:spectrum,sigma-min:spectrum,ellipse-cx:spectrum,lee96-lbound:normal,n-struct-unsymm:structure,lee96-ubound:normal,lambda-max-by-im-part-re:spectrum,ruhe75-bound:normal,departure:lapack,ellipse-cy:spectrum,relsymm:iprs,lambda-max-by-magnitude-im:spectrum,n-colours:jpl,commutator-normF:normal,col-variability:variance,symmetry-anorm:simple,diag-zerostart:structure,symmetry:structure,lambda-max-by-im-part-re:lapack,positive-fraction:spectrum,nnz:iprs,diagonal-dominance:simple,lambda-max-by-real-part-re:lapack,dummy-rows-kind:structure,max-nnzeros-per-row:structure,ellipse-ax:spectrum,lambda-min-by-magnitude-re:spectrum,symmetry-fanorm:simple,nnzeros:structure,loband:iprs,diagonal-sign:variance,min-nnzeros-per-row:structure,lambda-max-by-real-part-re:spectrum,trace-asquared:normal,nnzup:iprs,n-dummy-rows:structure,nrows:structure,symmetry-fsnorm:simple,diag-definite:structure,avg-diag-dist:iprs,lambda-max-by-im-part-im:lapack,diagonal-variance:variance,symmetry-snorm:simple,n-ritz-values:spectrum,lambda-max-by-magnitude-re:spectrum,lee95-bound:normal,normInf:simple,lambda-max-by-magnitude-re:lapack,sigma-max:spectrum,n-nonzero-diags:iprs,trace-abs:simple,norm1:simple,lambda-min-by-magnitude-im:lapack,left-bandwidth:structure,blocksize:structure,ellipse-ay:spectrum,lambda-max-by-magnitude-im:lapack,sigma-diag-dist:iprs,kappa:spectrum,lambda-max-by-real-part-im:lapack,trace:simple,nnzdia:iprs,lambda-min-by-magnitude-im:spectrum,right-bandwidth:structure
hydr1c_A_34, 30.09026, 0.03438987, 4535, 9869, 7.047314e-19, 4, 4, 100000.0, 8719681.0, nan, 941618.5, -51.20215, nan, nan, nan, -1.477929e-12, 2934796.0, 8718532.0, nan, nan, 100000.0, 6, nan, 29.49899, nan, 2386, nan, 7.047314e-19, 0.4875, 24791, -4597404.0, 490.2122, nan, 13, 676.463, 219.4077, nan, 24791, 5307, 1, 2, -727.6651, nan, 9614, nan, 5308, nan, nan, 2407.476, nan, 2.491584, nan, 240, -1.477929e-12, nan, 4597404.0, 7.047314e-19, 3034796.0, 7949, 182.5414, 2331310.0, nan, 5307, 2358, 100000.0, nan, 14948290.0, 455.7726, nan, 182.5414, 5308, nan, 4535
hydr1c_A_35, 27.77095, 2.23279e-05, 5307, 13777, -2.386015e-07, 5, 5, 33.76472, 234405.2, 0.6153869, 20159.75, -0.1228329, nan, 23445, nan, -4.19882, 60523.49, 234404.9, nan, 0.1872638, 0.6153869, 6, nan, 29.49883, 45872.97, 2797, nan, 38.71082, 0.5, 28847, -91745.92, 38.71082, nan, 15, 38.84442, 26.18635, 165749.5, 28847, 4535, nan, 2, -38.96725, 3578.536, 9762, nan, 5308, 165749.5, nan, 2427.536, nan, 0.001380082, 45872.97, 240, -38.96725, 234405.2, 91745.92, -38.71383, 60562.47, 8308, 0.1185165, 46523.68, nan, 4535, 2780, 33.76472, nan, 12701570.0, 1.288774, nan, 0.07860444, 5308, 15.12328, 5307
hydr1c_A_36, 26.68532, 0.03460328, 4535, 9879, 1.246832e-18, 4, 4, 100000.0, 8673751.0, nan, 940596.5, -38.81548, nan, nan, nan, 9.947598e-14, 2922392.0, 8672595.0, nan, nan, 100000.0, 6, nan, 29.05739, nan, 2386, nan, 1.246832e-18, 0.5, 24809, -4578208.0, 489.7917, nan, 13, 661.6046, -421.5262, nan, 24809, 5307, 1, 2, -700.4201, nan, 9622, nan, 5308, nan, nan, 2407.734, nan, 2.507131, nan, 240, 9.947598e-14, nan, 4578208.0, 1.246832e-18, 3022392.0, 7952, 183.6742, 2321754.0, nan, 5307, 2358, 100000.0, nan, 14946190.0, 237.2332, nan, 183.6742, 5308, nan, 4535
hydr1c_A_37, 27.43293, 0.03460328, 4535, 9878, 4.87891e-19, 4, 4, 100000.0, 8673775.0, nan, 940596.5, -38.81464, nan, nan, nan, 3.641532e-12, 2922392.0, 8672619.0, nan, nan, 100000.0, 6, nan, 27.37574, nan, 2386, nan, 4.87891e-19, 0.5, 24801, -4578208.0, 489.7917, nan, 13, 661.6054, -420.213, nan, 24801, 5307, 1, 2, -700.42, nan, 9615, nan, 5308, nan, nan, 2407.734, nan, 2.507131, nan, 240, 3.641532e-12, nan, 4578208.0, 4.87891e-19, 3022392.0, 7952, 183.6742, 2321754.0, nan, 5307, 2358, 100000.0, nan, 14946190.0, 237.9745, nan, 183.6742, 5308, nan, 4535
hydr1c_A_30, 26.8236, 0.03443932, 4535, 9886, nan, 4, 4, 100000.0, 8601543.0, 47.92366, 1009534.0, -2.26256, nan, 19442, nan, -4.440892e-13, 2921781.0, 8600378.0, nan, 0.2165538, 100000.0, 6, nan, 28.90271, 2288636.0, 2386, nan, nan, 0.5, 24816, -4577270.0, 490.4894, nan, 13, 537.5778, 518.5601, 6083032.0, 24816, 5307, 1, 2, -539.8403, -20000880000.0, 9622, nan, 5308, 6081388.0, nan, 2408.001, nan, 2.495187, 2288636.0, 240, -4.440892e-13, 8600381.0, 4577270.0, nan, 3021781.0, 7953, 182.8039, 2321284.0, nan, 5307, 2358, 100000.0, nan, 14946320.0, 186.7517, nan, 182.8039, 5308, 133.5067, 4535
hydr1c_A_31, 29.02894, 0.03443932, 4535, 9885, -6.505213e-19, 4, 4, 100000.0, 8601595.0, 47.92449, 1009534.0, -2.262548, nan, 19438, nan, -2.380318e-13, 2921781.0, 8600429.0, nan, 0.2165887, 100000.0, 6, nan, 29.65389, 2288636.0, 2386, nan, 457.5238, 0.5083333, 24812, -4577270.0, 490.4894, nan, 13, 537.5907, 518.5734, 6083068.0, 24812, 5307, 1, 2, -539.8533, -20000880000.0, 9619, nan, 5308, 6081424.0, nan, 2407.453, nan, 2.495187, 2288636.0, 240, -2.380318e-13, 8600432.0, 4577270.0, -6.505213e-19, 3021781.0, 7951, 182.8039, 2321284.0, nan, 5307, 2358, 100000.0, nan, 14939620.0, 186.7466, nan, 182.8039, 5308, 133.5126, 4535
hydr1c_A_32, 27.27156, 1.700161e-05, 5307, 13788, -1.962222e-07, 5, 5, 26.10338, 181443.9, 0.7556829, 14452.78, -0.8194466, nan, 23460, nan, -2.486292, 45459.15, 181443.6, nan, 0.1871665, 0.7556829, 6, nan, 27.38287, 34452.72, 2797, nan, 29.27042, 0.5, 28862, -68905.43, 29.27042, nan, 15, 29.38235, 1.733758, 128300.2, 28862, 4535, nan, 2, -30.2018, 2047.704, 9766, nan, 5308, 128300.2, nan, 2427.286, nan, 0.001052389, 34452.72, 240, -30.2018, 181443.9, 68905.43, -29.27294, 45489.36, 8312, 0.09024454, 45472.32, nan, 4535, 2780, 26.10338, nan, 12699510.0, 1.193763, nan, 0.06013688, 5308, 25.24812, 5307
hydr1c_A_33, 27.02648, 0.03438987, 4535, 9879, 1.409463e-18, 4, 4, 100000.0, 8719705.0, 42.93442, 1010697.0, -29.88834, nan, 19435, nan, 3.396394e-12, 2934796.0, 8718555.0, nan, 0.2166149, 100000.0, 6, nan, 29.49455, 2298703.0, 2386, nan, 1.409463e-18, 0.55, 24809, -4597404.0, 490.2122, nan, 13, 557.399, 306.668, 6166573.0, 24809, 5307, 1, 2, -587.2874, -20000880000.0, 9622, nan, 5308, 6164951.0, nan, 2408.001, nan, 2.491584, 2298703.0, 240, 3.396394e-12, 8718558.0, 4597404.0, 1.409463e-18, 3034796.0, 7953, 182.5414, 2331310.0, nan, 5307, 2358, 100000.0, nan, 14946320.0, 195.2486, nan, 182.5414, 5308, 410.2077, 4535
ted_B, 8.705163, 0.4006566, nan, 66987, 4.530171e-07, 7, 7, 0.0003472782, 65.13077, nan, 0.003054089, 0.5, nan, nan, nan, 0.00306564, 0.003053999, 0.03338211, nan, nan, nan, 12, nan, 8.705163, nan, 10605, nan, 1.0, 1.0, 77592, -0.0005283483, 1.0, 1, 25, 0.5, 8.946891e-08, nan, 77592, 48, 2, 1, 1.0, nan, nan, 4245, 10605, nan, 1, 20.10811, nan, 0.4893627, nan, 27, 1.0, nan, 1.0, 1.0, 1.0, 37, 4248.964, 1.0, nan, 48, 1, 0.0003472782, nan, 1804.9, 11177070.0, nan, 4248.964, 10605, nan, nan
ted_A, 23.90546, 2.401156e-07, 4259, 302494, -2.056688e-14, 40, 40, 3.668682, 353.7695, 2.849878, nan, -0.001137027, nan, nan, nan, -1.712638e-05, nan, 0.03112951, nan, nan, 3.668682, 22, nan, 23.44316, nan, 10605, nan, -5.694618e-07, 0.4, 433071, -18.43542, 9.919843e-14, nan, 148, 0.001543217, -0.002680244, nan, 433071, 4291, -1.0, 2, -0.002680244, nan, 119972, nan, 10605, nan, nan, 3150.77, nan, 5.606368e-07, nan, 10, -1.712638e-05, nan, 18.43542, -2.056688e-14, nan, 4407, 0.002546426, 18.43538, nan, 4291, 8485, 3.668682, nan, 20552490.0, 1.287311, nan, -0.002546426, 10605, 2.849878, 4259
fd18, 5.294551, nan, 5726, 23972, 3361.548, 4, 4, 3634.496, 1170888000.0, 980.0202, 97440740.0, -78.96795, nan, nan, nan, 653.9722, 728928400.0, 1170888000.0, nan, nan, 980.0202, 5, nan, 7.426279, nan, nan, nan, 3361.548, 0.5241379, 79834, -763132100.0, 3361.548, nan, 7, 3613.923, -2235.215, nan, 79834, 15713, 10, 2, -3692.891, nan, 39434, nan, 16428, nan, nan, 4480.759, nan, nan, nan, 145, -3692.891, nan, 763132100.0, 3361.548, 728932200.0, 1737, nan, 929504400.0, nan, 15713, 1, 3634.496, nan, 68914140.0, 1.709329, nan, nan, 16428, nan, 5726
gyro_m, 27.79945, 4.146915e-09, nan, 161535, 1.001778e-10, 10, 10, 8.508748e-09, 1.513258e-06, nan, 1.02315e-07, 4.923391e-08, nan, nan, nan, 4.325236e-08, 7.836285e-08, 8.689076e-07, nan, nan, nan, 12, nan, 27.79945, nan, 17361, nan, 2.067254e-10, 1.0, 178896, -1.074196e-07, 7.567185e-08, 1, 30, 2.643794e-08, 2.279597e-08, nan, 178896, 5142, 2, 1, 7.567185e-08, nan, nan, 75, 17361, nan, 1, 1858.142, nan, 8.438997e-09, nan, 55, 7.567185e-08, nan, 2.309701e-07, 3.066326e-08, 1.294366e-07, 1198, 7.19946e-05, 3.001561e-07, nan, 5142, 1, 8.508748e-09, nan, 15092440.0, 3.159291, nan, 7.19946e-05, 17361, 7.35187e-09, nan
gyro_k, 27.42213, 93825210.0, nan, 501899, 9859396.0, 29, 29, 47819010.0, 20969680000.0, nan, 1871979000.0, 1122410000.0, nan, nan, nan, 974475300.0, 1870069000.0, 9587638000.0, nan, nan, nan, 23, nan, 27.93371, nan, 17361, nan, 24226860.0, 1.0, 519260, -1916859000.0, 2242909000.0, 1, 90, 1120499000.0, 1910410.0, nan, 519260, 5144, 2, 1, 2242909000.0, nan, nan, 25, 17361, nan, 1, 1913.373, nan, 105974100.0, nan, 47, 2242909000.0, nan, 5064322000.0, 215955100.0, 2943283000.0, 3730, 1.628899e+12, 6743057000.0, nan, 5144, 1, 47819010.0, nan, 15981320.0, 1174.046, nan, 1.628899e+12, 17361, nan, nan
fpga_dcop_39, 77.12, 0.2578098, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.80816, nan, 0.9999986, 0.9358258, nan, nan, nan, 4.94065645841e-324, 0.5370867, 1.169915e-05, nan, nan, nan, 5, nan, 77.12, nan, 1154, nan, 2.87165, 0.7012987, 5976, -1.0, 2.871652, nan, 36, 1.935826, -0.4629119, nan, 5976, 864, 1, 2, 2.871652, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2616686, nan, 77, 2.871652, nan, 5.727273, 2.871652, 2.871652, 1601, 314.528, 5.727274, nan, 864, 224, nan, nan, 475474.4, 6.203451, nan, 314.528, 1220, nan, 864
bayer08, 127.6996, 1.773047e-05, 2941, 16346, 6.113215e-09, 10, 10, 58.87192, 9482058000.0, nan, 9607705.0, -4.6875e-06, nan, nan, nan, -5.381407e-06, 8439797000.0, 9482058000.0, nan, nan, 58.87192, 7, nan, 127.6996, nan, 1498, nan, 58.8713, 0.5125, 30582, -6503089000.0, 58.8717, nan, 74, 58.87178, -14.18826, nan, 30582, 2745, 1, 2, -58.87179, nan, 11228, nan, 3008, nan, nan, 1381.141, nan, 0.00097227, nan, 240, -5.381407e-06, nan, 6503089000.0, -58.8717, 8439797000.0, 4546, 0.05333324, 12405480000.0, nan, 2745, 1497, 58.87192, nan, 4793380.0, 3.988377, nan, 0.05333324, 3008, 4.071429, 2941
bayer09, 47.45047, 0.0003801519, 3082, 9952, 6.515574e-08, 7, 7, 29.54591, 3428561000.0, nan, 755478000.0, -2.718866, nan, 20764, nan, -11.62387, 1212854000.0, 3428561000.0, nan, 0.1453385, nan, 8, nan, 47.45047, 607444400.0, 1556, nan, 0.01, 0.475, 24295, -1214889000.0, 17.6679, nan, 35, 30.71793, 9.36673, 2424359000.0, 24295, 2857, nan, 2, -33.4368, 5.208571, 11260, nan, 3083, 2424359000.0, nan, 1371.345, nan, 0.02090218, 607444400.0, 240, -33.4368, 3428561000.0, 1214889000.0, -0.01020815, 1212854000.0, 4682, 1.172008, 1212874000.0, nan, 2857, 1509, 29.54591, nan, 3962256.0, 3.480313, nan, 1.172008, 3083, 2.136987, 3082
bayer06, 59.49158, 1.659009e-06, 2941, 16346, 2.033297e-13, 10, 10, 5.508531, 887219700.0, nan, 898976.3, -1.048422e-06, nan, nan, nan, -1.524387e-06, 789697200.0, 887219700.0, nan, nan, 5.508531, 7, nan, 59.49158, nan, 1498, nan, 5.50852, 0.4958333, 30582, -608482800.0, 5.508523, nan, 74, 5.508528, 0.5793078, nan, 30582, 2745, 1, 2, -5.508529, nan, 11228, nan, 3008, nan, nan, 1381.141, nan, 9.097361e-05, nan, 240, -1.524387e-06, nan, 608482800.0, -5.508523, 789697200.0, 4546, 0.004990299, 1160759000.0, nan, 2745, 1497, 5.508531, nan, 4793380.0, 4.09768, nan, 0.004990299, 3008, 1.213078, 2941
bayer07, 113.3405, 0.004828859, 2941, 16346, -3.423875e-06, 9, 9, 17419.55, 2.805635e+12, nan, 2842813000.0, 0.0001471878, nan, nan, nan, 0.0002090186, 2.497242e+12, 2.805635e+12, nan, nan, 17419.55, 7, nan, 111.0801, nan, 1498, nan, 17419.48, 0.5166667, 31102, -1.924191e+12, 17419.48, nan, 74, 17419.53, 1725.721, nan, 31102, 3008, -1.0, 2, 17419.53, nan, 11488, nan, 3268, nan, nan, 1381.255, nan, 0.2760064, nan, 240, 0.0002090186, nan, 1.924191e+12, 17419.48, 2.497242e+12, 4550, 15.78071, 3.670644e+12, nan, 3008, 1497, 17419.55, nan, 4789336.0, 3.812525, nan, -15.78071, 3268, 4230.595, 2941
adder_dcop_14, 231.392, 0.002987297, 1801, 3764, 0.0003510933, 6, 6, nan, 4.314751, nan, 0.03170902, 0.2157839, nan, nan, nan, 6.934778e-310, 0.1105544, 0.0129782, nan, nan, nan, 7, nan, 231.392, nan, 1813, nan, 1.431568, 0.5272727, 11258, -1.012069, 1.431568, nan, 1310, 1.215784, 0.1422634, nan, 11258, 1763, 1, 2, 1.431568, nan, 5681, nan, 1813, nan, nan, 793.8216, nan, 0.0173775, nan, 55, 1.431568, nan, 2.441177, 1.431568, 1.431576, 3127, 5.41597, 2.432901, nan, 1763, 76, nan, nan, 1328154.0, 10.0628, nan, 5.41597, 1813, nan, 1801
bayer05, 49.65997, 0.004828859, 2941, 16346, -1.789008e-10, 9, 9, 17419.58, 2.805635e+12, nan, 2842813000.0, 0.0001468905, nan, 27648, nan, 3.698132e-05, 2.497242e+12, 2.805635e+12, nan, 0.111054, nan, 7, nan, 47.50547, 1.835322e+12, 1498, nan, 17419.48, 0.5, 31102, -1.924191e+12, 17419.48, nan, 74, 17419.59, 3367.456, 1.983884e+12, 31102, 3008, -1.0, 2, 17419.59, 10245.64, 11488, nan, 3268, 1.983884e+12, nan, 1381.255, nan, 0.2760064, 1.835322e+12, 240, 17419.59, 2.805635e+12, 1.924191e+12, -17419.48, 2.497242e+12, 4550, 15.78071, 3.670644e+12, nan, 3008, 1497, 17419.58, nan, 4789336.0, 3.72585, nan, -15.78071, 3268, 3243.299, 2941
bayer02, 30.47297, 3.053411e-07, 13934, 31092, -0.0226699, 5, 5, 0.02960415, 129559.5, nan, 1.000018, -0.009845508, nan, nan, nan, -0.006830745, 125999.9, 129559.5, nan, nan, nan, 7, nan, 30.47297, nan, 13866, nan, 0.02247728, 0.4958333, 77610, -126000.1, 0.02278863, nan, 23, 0.05191932, -0.004248195, nan, 77610, 11975, nan, 2, -0.06176483, nan, 32583, nan, 13935, nan, nan, 6493.718, nan, 3.595469e-05, nan, 240, -0.06176483, nan, 126000.1, -0.0226699, 126000.0, 22373, 0.004254929, 126001.0, nan, 11975, 7415, 0.02960415, nan, 86228470.0, 2.338928, nan, -0.004254011, 13935, 0.02606338, 13934
bayer03, 150.747, 0.0001630509, 6746, 28173, -622.152, 9, 9, 1189.775, 4489867000.0, nan, 128105700.0, 6.999733, nan, 56011, nan, -98.30881, 541600600.0, 4489867000.0, nan, 0.1100041, 389.2218, 8, nan, 152.0121, 271923300.0, 3667, nan, 640.2374, 0.475, 62934, -543846600.0, 640.2374, nan, 35, 1185.056, 950.989, 3174815000.0, 62934, 5499, nan, 2, 1192.056, -22444.72, 28014, nan, 6747, 3174815000.0, nan, 2954.932, nan, 0.01314314, 271923300.0, 240, 1129.533, 4489867000.0, 543846600.0, -622.152, 541601800.0, 10611, 1.100104, 541830200.0, nan, 5499, 3615, 1189.775, nan, 17305330.0, 1.241919, nan, -1.079034, 6747, 145.0633, 6746
adder_dcop_11, 248.7111, 0.003657814, 1801, 3762, 0.0003510933, 6, 6, nan, 4.420132, nan, 0.07590033, 0.319953, nan, nan, nan, 6.924939e-310, 0.05280058, 0.02580104, nan, nan, nan, 7, nan, 248.7111, nan, 1813, nan, 1.639906, 0.7142857, 11255, -1.02048, 1.639906, nan, 1310, 1.319953, 0.02309974, nan, 11255, 1763, 1, 2, 1.639906, nan, 5680, nan, 1813, nan, nan, 793.8216, nan, 0.02695486, nan, 98, 1.639906, nan, 2.94475, 1.639906, 1.639951, 3127, 6.631616, 2.932791, nan, 1763, 76, nan, nan, 1328154.0, 70.99239, nan, 6.631616, 1813, nan, 1801
nasa1824, 16.90036, 605611.3, nan, 18692, 1508.661, 11, 11, 920963.4, 64555130.0, nan, 9422353.0, 5321120.0, nan, nan, nan, 4057529.0, 9421596.0, 34408470.0, nan, nan, nan, 11, nan, 17.16111, nan, 1824, nan, 2769.759, 1.0, 20516, -6556837.0, 10641480.0, 1, 31, 5320363.0, 756.7837, nan, 20516, 239, 2, 1, 10641480.0, nan, nan, 3, 1824, nan, 1, 107.229, nan, 1126447.0, nan, 53, 10641480.0, nan, 22035610.0, 1115265.0, 16027160.0, 214, 1104635000.0, 29625580.0, nan, 239, 1, 920963.4, nan, 49978.51, 14061.46, nan, 1104635000.0, 1824, nan, nan
t2dah_a, 7.550828, 0.94053, nan, 82336, -2.575951e-05, 8, 8, 17.15462, 693.1209, nan, 147.5995, -73.79904, nan, nan, nan, -51.40135, 106.9526, 400.9072, nan, nan, nan, 8, nan, 7.553177, nan, 11445, nan, -2.575951e-05, nan, 93781, -275.2723, -1.110991e-05, 1, 12, 36.6691, -37.12994, nan, 93781, 231, -2.0, 1, -110.4681, nan, nan, 2, 11445, nan, nan, 115.0087, nan, 5.200781, nan, 48, -110.4681, nan, 275.2723, -0.6202565, 187.6805, 231, 10764.37, 272.2243, nan, 231, 1, 17.15462, nan, 57356.62, 2.717751, nan, -10764.37, 11445, 16.53898, nan
hydr1c_A_58, 26.39456, 0.03453506, 4535, 9879, 1.084202e-18, 4, 4, 100000.0, 8612383.0, nan, 1009853.0, 62.11529, nan, 19435, nan, -2.103206e-12, 2924084.0, 8611218.0, nan, 0.2166149, 100000.0, 6, nan, 28.73483, 2290392.0, 2386, nan, 1.084202e-18, 0.475, 24809, -4580781.0, 489.0976, nan, 13, 592.4875, -514.1628, 6090695.0, 24809, 5307, 1, 2, 654.6028, -20000880000.0, 9622, nan, 5308, 6089053.0, nan, 2408.001, nan, 2.502161, 2290392.0, 240, -2.103206e-12, 8611221.0, 4580781.0, 1.084202e-18, 3024084.0, 7953, 183.3121, 2323054.0, nan, 5307, 2358, 100000.0, nan, 14946320.0, 191.3551, nan, 183.3121, 5308, 93.46458, 4535
t2dah_e, 13.25943, 1.070016e-06, nan, 82336, 2.201054e-13, 8, 8, 3.042961e-06, 0.000264632, nan, 1.46253e-05, 8.703813e-06, nan, nan, nan, 6.995745e-06, 7.85395e-06, 0.0001383855, nan, nan, 5.086951e-07, 8, nan, 13.25943, nan, 11445, nan, 1.949996e-08, 1.0, 93781, -7.011941e-06, 7.487326e-06, 1, 12, 2.607912e-06, 6.095901e-06, nan, 93781, 231, 2, 1, 1.131172e-05, nan, nan, 2, 11445, nan, 1, 115.0087, nan, 1.816764e-06, nan, 21, 1.131143e-05, nan, 2.198659e-05, 1.987641e-08, 1.531253e-05, 231, 0.01224633, 1.804238e-05, nan, 231, 1, 3.042961e-06, nan, 57356.62, 1.672172, nan, 0.01224633, 11445, 2.94809e-06, nan
t2d_q9_A_29, 1.550128, 4604.397, 100, 38612, 21.55765, 8, 8, nan, 2014090.0, nan, 312984.5, 340810.6, nan, nan, nan, nan, 38542.61, 76132.88, nan, nan, nan, 8, nan, 1.293912, nan, 9801, nan, 407179.3, 1.0, 87025, -1422.593, 407179.3, nan, 9, 66368.73, 274441.8, nan, 87025, 100, 2, 4, 407179.3, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 18721.31, nan, 42, 407179.3, nan, 655727.4, 407179.3, 407337.6, 9, 45127700.0, 654304.8, nan, 100, 99, nan, nan, 10920.05, 1.483663, nan, 45127700.0, 9801, nan, 100
hydr1c_A_59, 27.77982, 0.03453506, 4535, 9875, -4.336809e-19, 4, 4, 100000.0, 8612385.0, nan, 1009853.0, -32.41703, nan, 19429, nan, 7.142731e-12, 2924084.0, 8611220.0, nan, 0.2166673, 100000.0, 6, nan, 28.34875, 2290392.0, 2386, nan, 456.8738, 0.525, 24803, -4580781.0, 489.0976, nan, 13, 570.4735, 538.0565, 6090697.0, 24803, 5307, 1, 2, -602.8905, -20000880000.0, 9620, nan, 5308, 6089054.0, nan, 2407.856, nan, 2.502161, 2290392.0, 240, 7.142731e-12, 8611223.0, 4580781.0, -4.336809e-19, 3024084.0, 7951, 183.3121, 2323054.0, nan, 5307, 2358, 100000.0, nan, 14940800.0, 185.8541, nan, 183.3121, 5308, nan, 4535
add32, 37.70429, 0.01656774, 4029, 9462, 0.008227177, 4, 4, nan, 1.567941, nan, 0.05692337, 0.02895612, nan, nan, nan, 6.943785e-310, 0.05650196, 0.003700027, nan, nan, nan, 8, nan, 37.70429, nan, 4960, nan, 0.05711108, 1.0, 23884, -1.040834e-16, 0.05749316, nan, 32, 0.02853471, 0.0004214049, nan, 23884, 4029, 2, 2, 0.05749083, nan, 9462, nan, 4960, nan, 1, 2455.749, nan, 0.008281579, nan, 9, 0.05749083, nan, 0.08372955, 0.05734823, 0.05747229, 3899, 82.176, 0.08413988, nan, 4029, 993, nan, nan, 13230620.0, 136.4266, nan, 82.176, 4960, nan, 4029
t2d_q9_A_23, 1.133933, 83.83453, 100, 38612, 8.194403, 8, 8, 8.295186, 21700.49, nan, 2819.352, 1711.755, nan, nan, nan, 2818.269, 2819.331, 596.7356, nan, nan, nan, 8, nan, 1.037953, nan, 9801, nan, 3415.834, 1.0, 87025, -10.53806, 3423.49, nan, 9, 1711.735, 0.02082185, nan, 87025, 100, 2, 4, 3423.49, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 189.9805, nan, 44, 3423.49, nan, 5345.362, 3423.49, 3425.682, 9, 821662.3, 5335.601, nan, 100, 99, 8.295186, nan, 10920.05, 164418.2, nan, 821662.3, 9801, nan, 100
t2d_q9_A_22, 1.252157, 132.5556, 100, 38612, 9.186334, 8, 8, nan, 45226.46, nan, 6551.086, 6750.83, nan, nan, nan, nan, 1158.732, 1494.228, nan, nan, nan, 8, nan, 1.122296, nan, 9801, nan, 8109.306, 1.0, 87025, -28.47519, 8109.306, nan, 9, 1358.476, 5392.354, nan, 87025, 100, 2, 4, 8109.306, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 412.3077, nan, 38, 8109.306, nan, 12815.22, 8109.306, 8112.179, 9, 1299177.0, 12789.05, nan, 100, 99, nan, nan, 10920.05, 1.503853, nan, 1299177.0, 9801, nan, 100
t2d_q9_A_21, 1.349296, 281.0425, 100, 38612, 6.470774, 8, 8, 52.36234, 112253.4, nan, 16305.67, 17906.04, nan, nan, nan, 16332.4, 1696.718, 3945.856, nan, nan, nan, 8, nan, 1.208104, nan, 9801, nan, 21203.13, 1.0, 87025, -77.24861, 21203.13, nan, 9, 3297.087, 14608.96, nan, 87025, 100, 2, 4, 21203.13, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 1037.492, nan, 33, 21203.13, nan, 33784.25, 21203.13, 21210.63, 9, 2754498.0, 33713.19, nan, 100, 99, 52.36234, nan, 10920.05, 1.451379, nan, 2754498.0, 9801, nan, 100
t2d_q9_A_20, 1.420731, 713.8749, 100, 38612, 7.506479, 8, 8, nan, 301270.9, nan, 46272.21, 49817.85, nan, nan, nan, nan, 4824.39, 10784.38, nan, nan, nan, 8, nan, 1.283613, nan, 9801, nan, 58187.89, 1.0, 87025, -209.8934, 58187.89, nan, 9, 8370.036, 41447.82, nan, 87025, 100, 2, 4, 58187.89, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 2793.624, nan, 30, 58187.89, nan, 93384.58, 58187.89, 58208.59, 9, 6996688.0, 93191.72, nan, 100, 99, nan, nan, 10920.05, 1.403883, nan, 6996688.0, 9801, nan, 100
t2d_q9_A_27, 1.071613, 66.85659, 100, 38612, 9.275703, 8, 8, nan, 12565.5, nan, 948.8962, 576.0755, nan, nan, nan, nan, 948.8753, 161.2753, nan, nan, nan, 8, nan, 0.964094, nan, 9801, nan, 1152.13, 1.0, 87025, -0.00123685, 1152.13, nan, 9, 576.0546, 0.02084416, nan, 87025, 100, 2, 4, 1152.13, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 99.6103, nan, 25, 1152.13, nan, 1743.924, 1152.13, 1152.457, 9, 655261.4, 1743.923, nan, 100, 99, nan, nan, 10920.05, 55273.51, nan, 655261.4, 9801, nan, 100
t2d_q9_A_07, 0.9329238, 5.389935, 100, 38612, 3.809618, 8, 8, nan, 638.104, nan, 24.91021, 13.24807, nan, nan, nan, nan, 24.90672, 3.12456, nan, nan, nan, 8, nan, 0.9189498, nan, 9801, nan, 26.469, 1.0, 87025, -0.04772491, 26.49265, nan, 9, 13.24458, 0.003489751, nan, 87025, 100, 2, 4, 26.49265, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 2.821983, nan, 23, 26.49265, nan, 39.44732, 26.49265, 26.49378, 9, 52826.76, 39.41596, nan, 100, 99, nan, nan, 10920.05, 7591.559, nan, 52826.76, 9801, nan, 100
