Name,Row Variance,Col Variance,Diag Variance,Nonzeroes,Dimension,Frobenius Norm,Frobenius norm of symmetric portion,Frobenius norm of anti-symmetric portion,1 Norm,Inf Norm,Inf Norm of Symmetric Portion,Inf norm of anti-symmetric portion,Max nonzeroes per row,Trace,Abs Trace,Min nonzeroes per row,Avg nonzeroes per row,Dummy rows,Dummy rows kind,Numerical Symmetry,Structural Symmetry,Numeric value symmetry,Nonzero pattern symmetry,row diagonal dominance,col diagonal dominance,diagonal average,diagonal sign,diagonal nonzero count,lower bandwidth,upper bandwidth
fs_541_4.mtx,1.18E+09,4.49E+09,6.11E+07,4273,541,1.58E+06,1.12E+06,1.11E+06,5.74E+06,812740,2.87E+06,2.87E+06,11,1.62E+06,1.62E+06,0,7,1,0,0,0,0.59525,0.722754,0,0,2985.76,2,541,378,540
fs_541_1.mtx,1.80765,8.25448,0.0252909,4282,541,71.4583,53.5118,47.358,277.077,32.896,139.039,138.039,11,573.011,573.011,0,7,1,0,0,0,0.827843,0.722754,0,0,1.05917,2,541,378,540
fs_541_2.mtx,1.16E+09,5.31E+09,1.63E+07,4282,541,1.70E+06,1.21E+06,1.20E+06,7.00E+06,809251,3.50E+06,3.50E+06,11,812719,812719,0,7,1,0,0,0,0.548926,0.722754,0,0,1502.25,2,541,378,540
fs_541_3.mtx,6.63E+10,2.96E+11,8.41E+08,4282,541,1.27E+07,8.99E+06,8.97E+06,4.72E+07,6.08E+06,2.36E+07,2.36E+07,11,5.98E+06,5.98E+06,0,7,1,0,0,0,0.552657,0.722754,0,0,11049.9,2,541,378,540
ex1.mtx,6521.4,6521.4,0,6534,560,30118.5,30118.5,0,7289,7289,7289,0,17,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,445,445
EX1.mtx,6521.4,6521.4,0,6534,560,30118.5,30118.5,0,7289,7289,7289,0,17,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,445,445
EX2.mtx,6624.56,6624.56,0,6522,560,30112.8,30112.8,0,7601,7601,7601,0,16,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,445,445
ex2.mtx,6624.56,6624.56,0,6522,560,30112.8,30112.8,0,7601,7601,7601,0,16,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,445,445
lshp_577.mtx,3900.89,3900.89,0,2909,577,21086.4,21086.4,0,4018,4018,4018,0,7,332352,332352,0,5,0,0,1,1,1,1,0,0,576,2,577,563,563
bcsstk34.mtx,5.38E+11,5.38E+11,2.41E+13,21418,588,1.75E+08,1.75E+08,0,4.35E+07,4.35E+07,4.35E+07,0,47,1.78E+09,1.78E+09,0,36,0,0,1,1,1,1,0,0,3.02E+06,2,588,95,95
bcsstm34.mtx,0.0552179,0.0552179,0.263266,24270,588,16.6296,16.6296,0,13.9793,13.9793,13.9793,0,54,75.2484,100.804,0,41,0,0,1,1,1,1,0,0,0.171435,3,588,95,95
dwt_592.mtx,4946.34,4946.34,0,3970,592,24401.2,24401.2,0,5502,5502,5502,0,12,349872,349872,0,6,1,1,1,1,1,1,0,0,591,2,592,259,259
ch5-5-b3.mtx,0.00666667,0.00666667,0.00334444,2400,600,48.9898,34.7707,34.5109,4,4,4,4,4,0,2,0,4,0,0,0,0,0.5075,0.0225,0,0,0.00333333,3,2,597,599
steam2.mtx,3.65E+16,3.65E+16,8.27E+18,5660,600,5.27E+10,5.27E+10,7.60E+07,4.69E+09,4.69E+09,4.69E+09,6.77E+06,17,-6.62E+11,6.62E+11,0,9,0,0,0,1,0.99861,1,0,0,1.10E+09,-2,600,330,331
dwt_607.mtx,4006.11,4006.11,0,3945,607,24622.6,24622.6,0,4465,4465,4465,0,13,367842,367842,0,6,0,0,1,1,1,1,0,0,606,2,607,147,147
netz4504_dual.mtx,3241.83,3241.83,0,2220,615,21549.8,21549.8,0,3490,3490,3490,0,6,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,43,43
cz628.mtx,5605.1,6117.22,1.02E+07,6346,628,44676,44496.4,4001.85,4481.63,3483.43,3840.81,1280.08,27,-1.00E+06,1.00E+06,0,10,1,0,0,0,0.959172,0.496691,0,0,1598.46,3,628,104,105
can_634.mtx,6959.65,6959.65,0,5326,634,29983.2,29983.2,0,8697,8697,8697,0,22,401322,401322,0,8,0,0,1,1,1,1,0,0,633,2,634,539,539
GD00_c.mtx,0.10744,0.0790842,0.037136,1041,638,35.7771,25.8263,24.7588,34,56,36.5,32.5,49,14,14,0,1,0,1,0,0,0.516275,0.0307397,0,0,0.0219436,1,10,483,552
west0655.mtx,1.52E+08,1.55E+08,0.00859216,2808,655,710459,502370,502370,382222,318714,191111,191111,12,-1.22063,4.77937,0,4,0,0,0,0,0.500002,0.00735809,0,0,0.00729674,3,5,564,489
ck656.mtx,0.0367555,0.0448926,0.0579984,3884,656,18.1455,18.0081,2.22883,8.45949,6.32584,7.27623,1.18562,10,344.775,344.775,0,5,0,0,0,0,0.975888,0.992791,0,0,0.525572,2,656,331,331
ex21.mtx,0.000359132,0.000359132,0.00545416,18964,656,2.21101,2.20985,0.0716069,0.6447,0.6447,0.6447,0.0438815,62,25.2752,25.5372,0,28,0,0,0,1,0.993614,1,0,0,0.0389287,3,476,167,167
662_bus.mtx,12182.8,12182.8,38467.7,2474,662,7360.03,7360.03,0,4032.26,4032.26,4032.26,0,10,74426,74426,0,3,0,0,1,1,1,1,0,0,112.426,2,662,335,335
shl_0.mtx,119859,24726.4,0.0074846,1687,663,9565.9,6764.12,6764.12,4058,76511,38256,38255,422,5,5,0,2,0,0,0,0,0.500032,0.00296384,0,0,0.00754148,1,5,534,661
shl_400.mtx,115945,24726.4,0.00450441,1712,663,9251.32,6541.67,6541.67,4058,65238,32619.5,32618.5,426,3,3,0,2,0,0,0,0,0.500023,0.00175234,0,0,0.00452489,1,3,538,662
shl_200.mtx,117642,24726.4,0.00896788,1726,663,9433.93,6670.8,6670.8,4058,73879,36940,36939,440,6,6,0,2,0,0,0,0,0.50004,0.00347625,0,0,0.00904977,1,6,538,661
nnc666.mtx,596.053,1177.96,8.02E-11,4032,666,6519.63,5952.74,2659.05,3562.15,1789.08,2673.61,888.538,16,0.004246,0.004486,0,6,0,0,0,0,0.833605,0.836301,0,0,6.74E-06,3,410,261,261
nos6.mtx,2.96E+10,2.96E+10,1.90E+12,3255,675,4.50E+07,4.50E+07,0,8.00E+06,8.00E+06,8.00E+06,0,5,4.49E+08,4.49E+08,0,4,0,0,1,1,1,1,2,2,665193,2,675,30,30
fs_680_1.mtx,4.33E+24,6.86E+24,1.12E+25,2184,680,1.21E+14,1.11E+14,5.04E+13,9.66E+13,7.75E+13,7.49E+13,2.91E+13,8,4.12E+14,4.12E+14,0,3,5,1,0,0,0.841682,0.636432,0,0,6.06E+11,2,680,560,280
fs_680_2.mtx,4.33E+24,6.86E+24,1.11E+25,2424,680,1.21E+14,1.11E+14,5.04E+13,9.66E+13,7.74E+13,7.49E+13,2.91E+13,8,4.06E+14,4.06E+14,0,3,5,1,0,0,0.841139,0.636432,0,2,5.98E+11,2,680,560,280
fs_680_3.mtx,4.33E+24,6.86E+24,1.11E+25,2471,680,1.21E+14,1.11E+14,5.04E+13,9.66E+13,7.74E+13,7.49E+13,2.91E+13,8,4.06E+14,4.06E+14,0,3,5,1,0,0,0.841048,0.636432,0,2,5.97E+11,2,680,560,280
M10PI_n.mtx,6.5244,6.52325,15.8002,1633,682,109.226,103.489,34.9351,67.7931,67.7931,66.7931,6,8,-224.575,224.575,0,2,0,0,0,1,0.618798,1,0,0,0.329289,-1,255,650,650
S10PI_n.mtx,6.5244,6.52325,15.8002,1633,682,109.226,103.489,34.9351,67.7931,67.7931,66.7931,6,8,-224.575,224.575,0,2,0,0,0,1,0.618798,1,0,0,0.329289,-1,255,650,650
685_bus.mtx,998174,998174,1.62E+06,3249,685,40139.1,40139.1,0,26447.4,26447.4,26447.4,0,13,211735,211735,0,4,0,0,1,1,1,1,0,0,309.103,2,685,550,550
Trefethen_700.mtx,39697.9,39697.9,2.43E+06,12654,700,76597.7,76597.7,0,5289,5289,5289,0,19,1.71E+06,1.71E+06,0,18,0,0,1,1,1,1,0,0,2438.98,2,700,512,512
lock_700.mtx,13905,13905,54540.5,15371,700,49588.9,49588.9,0,17871,17871,17871,0,52,158534,158534,0,21,0,0,1,1,1,1,0,0,226.477,1,453,681,681
can_715.mtx,9137.01,9137.01,40398.4,4810,715,35449,35449,0,15154,15154,15154,0,76,80432,80432,0,6,0,0,1,1,1,1,0,0,112.492,1,234,606,606
msc00726.mtx,4.95E+15,4.95E+15,2.85E+17,34518,726,2.23E+10,2.23E+10,0,7.35E+09,7.35E+09,7.35E+09,0,88,3.10E+11,3.10E+11,0,47,0,0,1,1,1,1,0,0,4.27E+08,2,726,188,188
nos7.mtx,5.76E+10,5.76E+10,9.38E+11,4617,729,2.97E+07,2.97E+07,0,1.20E+07,1.20E+07,1.20E+07,0,7,1.62E+08,1.62E+08,0,6,0,0,1,1,1,1,1,1,222482,2,729,81,81
dwt_758.mtx,5889.83,5889.83,0,4668,758,34280.1,34280.1,0,6040,6040,6040,0,8,573806,573806,0,6,0,0,1,1,1,1,0,0,757,2,758,200,200
fs_760_1.mtx,6.30E+13,1.26E+14,1.34E+14,5739,760,4.54E+08,3.93E+08,2.27E+08,4.38E+08,2.19E+08,3.29E+08,1.10E+08,21,9.43E+08,9.43E+08,0,7,0,0,0,0,0.756885,0.695448,0,0,1.24E+06,2,760,740,740
fs_760_2.mtx,6.30E+13,1.26E+14,1.34E+14,5739,760,4.54E+08,3.93E+08,2.27E+08,4.38E+08,2.19E+08,3.29E+08,1.10E+08,21,8.64E+08,8.64E+08,0,7,0,0,0,0,0.745928,0.695448,0,0,1.14E+06,2,760,740,740
fs_760_3.mtx,6.30E+13,1.26E+14,1.34E+14,5816,760,4.54E+08,3.93E+08,2.27E+08,4.38E+08,2.19E+08,3.29E+08,1.10E+08,21,8.64E+08,8.64E+08,0,7,0,0,0,0,0.745928,0.695448,0,0,1.14E+06,2,760,740,740
mcfe.mtx,2.25E+31,2.12E+31,4.95E+31,24382,765,2.01E+17,1.98E+17,3.42E+16,2.16E+17,2.48E+17,2.32E+17,6.21E+16,81,-7.75E+17,7.75E+17,0,31,0,0,0,0,0.942846,0.708843,0,0,1.01E+15,3,765,82,187
qh768.mtx,2.37E+23,2.39E+23,4.88E+11,2934,768,2.48E+13,1.75E+13,1.75E+13,1.47E+13,1.35E+13,7.37E+12,7.37E+12,10,-7.24E+07,7.24E+07,0,3,0,0,0,0,0.500001,0.944785,0,0,94279.1,-1,452,488,488
Si2.mtx,0.698536,0.698536,4.37047,17801,769,537.373,537.373,0,43.1184,43.1184,43.1184,0,61,13465.9,13465.9,0,23,0,0,1,1,1,1,0,0,17.5109,2,769,552,552
lshp_778.mtx,5295.85,5295.85,0,3976,778,33398.2,33398.2,0,5419,5419,5419,0,7,604506,604506,0,5,0,0,1,1,1,1,0,0,777,2,778,760,760
bfwb782.mtx,2.21E-13,2.21E-13,2.33E-10,5982,782,0.000253861,0.000253861,0,2.50E-05,2.50E-05,2.50E-05,0,13,-0.00582684,0.00582684,0,7,0,0,1,1,1,1,0,0,7.45E-06,-2,782,593,593
bfwa782.mtx,0.155313,0.102579,2.22886,7514,782,128.604,128.094,11.4477,13.2597,25.7264,19.4931,7.2,24,2801.11,2801.11,0,9,0,0,0,0,0.987525,0.992547,0,0,3.58198,2,782,594,594
rotor2.mtx,2.98E+08,3.01E+08,2.94E+06,10685,791,4.71E+06,3.33E+06,3.33E+06,1.09E+06,1.09E+06,545855,545854,43,83993.8,83993.8,0,13,6,1,0,0,0.500662,0.28292,0,0,106.187,3,681,721,721
G11.mtx,0.005,0.005,0,3200,800,56.5685,56.5685,0,4,4,4,0,4,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,792,792
G12.mtx,0.005,0.005,0,3200,800,56.5685,56.5685,0,4,4,4,0,4,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,784,784
G13.mtx,0.005,0.005,0,3200,800,56.5685,56.5685,0,4,4,4,0,4,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,768,768
rdb800l.mtx,0.50914,0.49229,489.345,4640,800,419.362,397.497,133.643,36.224,37.674,32.949,4.725,6,-8287.2,8287.2,0,5,0,0,0,1,0.906022,1,0,0,10.359,-2,800,40,40
G15.mtx,8656.91,8656.91,0,7758,800,42399.1,42399.1,0,15574,15574,15574,0,102,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,798,798
G19.mtx,0.191247,0.191247,0,9322,800,96.5505,96.5505,0,153,153,153,0,153,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,798,798
G17.mtx,8100.75,8100.75,0,7746,800,42055.7,42055.7,0,13848,13848,13848,0,97,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,791,791
G21.mtx,0.178724,0.178724,0,9334,800,96.6126,96.6126,0,143,143,143,0,143,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,793,793
G16.mtx,8108.56,8108.56,0,7786,800,41740.1,41740.1,0,13346,13346,13346,0,83,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,792,792
G20.mtx,0.153609,0.153609,0,9344,800,96.6644,96.6644,0,123,123,123,0,123,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,792,792
G14.mtx,9099.52,9099.52,0,7740,800,42041.9,42041.9,0,14861,14861,14861,0,88,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,793,793
G18.mtx,0.164587,0.164587,0,9388,800,96.8917,96.8917,0,132,132,132,0,132,0,0,0,11,0,0,1,1,1,1,0,0,0,0,0,793,793
G1.mtx,22357.3,22357.3,0,27062,800,80242.2,80242.2,0,29152,29152,29152,0,50,0,0,0,33,0,0,1,1,1,1,0,0,0,0,0,790,790
G10.mtx,0.0872014,0.0872014,0,38352,800,195.837,195.837,0,70,70,70,0,70,0,0,0,47,0,0,1,1,1,1,0,0,0,0,0,792,792
G2.mtx,20443.1,20443.1,0,27058,800,80218.3,80218.3,0,26521,26521,26521,0,49,0,0,0,33,0,0,1,1,1,1,0,0,0,0,0,798,798
G3.mtx,21189.1,21189.1,0,27084,800,80275.7,80275.7,0,26736,26736,26736,0,49,0,0,0,33,0,0,1,1,1,1,0,0,0,0,0,792,792
G4.mtx,20968.3,20968.3,0,27076,800,80314.7,80314.7,0,26422,26422,26422,0,50,0,0,0,33,0,0,1,1,1,1,0,0,0,0,0,796,796
G5.mtx,21713.3,21713.3,0,27094,800,80252.4,80252.4,0,29215,29215,29215,0,51,0,0,0,33,0,0,1,1,1,1,0,0,0,0,0,791,791
G6.mtx,0.0830768,0.0830768,0,38352,800,195.837,195.837,0,67,67,67,0,67,0,0,0,47,0,0,1,1,1,1,0,0,0,0,0,798,798
G7.mtx,0.0824521,0.0824521,0,38352,800,195.837,195.837,0,66,66,66,0,66,0,0,0,47,0,0,1,1,1,1,0,0,0,0,0,798,798
G8.mtx,0.0861753,0.0861753,0,38352,800,195.837,195.837,0,69,69,69,0,69,0,0,0,47,0,0,1,1,1,1,0,0,0,0,0,793,793
G9.mtx,0.0937232,0.0937232,0,38352,800,195.837,195.837,0,75,75,75,0,75,0,0,0,47,0,0,1,1,1,1,0,0,0,0,0,796,796
bcsstm19.mtx,1.91E+12,1.91E+12,1.31E+13,817,817,1.08E+08,1.08E+08,0,3.95E+07,3.95E+07,3.95E+07,0,1,8.69E+08,8.69E+08,0,1,817,1,1,1,1,1,2,2,1.06E+06,2,817,0,0
bcsstk19.mtx,2.77E+25,2.77E+25,8.46E+26,6853,817,9.62E+14,9.62E+14,0,2.26E+14,2.26E+14,2.26E+14,0,11,9.59E+15,9.59E+15,0,8,0,0,1,1,1,1,0,0,1.17E+13,2,817,567,567
bp_0.mtx,95.333,131.338,0.00121507,3276,822,977.754,691.371,691.382,543.131,617.542,369.994,369.994,266,1,1,0,3,0,0,0,0,0.500323,0.00946276,0,0,0.00121655,1,1,516,820
bp_200.mtx,95.4095,131.338,0.00122132,3802,822,993.485,702.484,702.517,543.131,526.513,272.565,272.565,283,1.073,1.073,0,4,0,0,0,0,0.500166,0.00683851,0,0,0.00130535,1,2,776,820
bp_400.mtx,72.0158,98.722,0.00122132,4028,822,985.443,696.822,696.806,490.673,510.522,280.363,280.363,295,1.073,1.073,0,4,0,0,0,0,0.50022,0.00595829,0,0,0.00130535,1,2,795,820
bp_600.mtx,96.1614,131.338,0.00122132,4172,822,1059.59,749.263,749.226,543.131,517.901,319.031,319.031,302,1.073,1.073,0,5,0,0,0,0,0.50032,0.00671141,0,0,0.00130535,1,2,795,820
bp_800.mtx,96.3294,131.338,0.00163244,4534,822,1082.95,765.771,765.753,543.131,504.594,319.353,319.353,304,1.722,1.722,0,5,0,0,0,0,0.500291,0.00617556,0,0,0.00209489,1,4,795,820
bp_1000.mtx,96.1614,131.338,0.00152467,4661,822,1118.68,791.029,791.019,543.131,510.46,319.031,319.031,308,1.606,1.606,0,5,0,0,0,0,0.500293,0.0102982,0,0,0.00195377,1,4,795,820
bp_1200.mtx,96.1614,131.338,0.00275041,4726,822,1182.85,836.417,836.384,543.131,499.412,318.531,318.531,311,0.607,2.607,0,5,0,0,0,0,0.500324,0.0105798,0,0,0.00317153,3,6,804,820
bp_1400.mtx,96.3294,131.338,0.00152467,4790,822,1126.71,796.72,796.694,543.131,504.594,318.853,318.853,311,1.607,1.607,0,5,0,0,0,0,0.500369,0.0114823,0,0,0.00195499,1,5,804,820
bp_1600.mtx,96.333,131.338,0.00152562,4841,822,1131.37,800.006,799.987,543.131,507.294,325.258,325.258,304,1.637,1.637,0,5,0,0,0,0,0.500321,0.011981,0,0,0.00199148,1,6,804,820
can_838.mtx,8889.39,8889.39,53453.6,7435,838,47604.4,47604.4,0,12573,12573,12573,0,24,106439,106439,0,8,0,0,1,1,1,1,0,0,127.016,1,269,837,837
ex22.mtx,0.108136,0.108136,1.48647,22460,839,57.0417,57.0379,0.655041,19.9926,19.9926,19.9926,0.248454,62,827.584,827.584,0,26,0,0,0,1,0.998119,1,0,0,0.986393,1,593,124,124
young3c.mtx,87.0457,87.0457,125227,4183,841,6356.78,6356.78,0,554.576,554.576,554.576,0,8,-141036,147944,0,4,0,0,1,1,1,1,0,0,175.914,3,841,30,30
young1c.mtx,61.5507,61.5507,56.9501,3,841,236.467,236.467,0,282.46,282.46,282.46,0,2,-218.46,218.46,0,0,0,1,1,1,1,1,0,0,0.259762,-1,1,1,1
young2c.mtx,61.5507,56.6128,56.9501,2,841,227.642,223.098,45.2548,218.46,282.46,250.46,32,2,-218.46,218.46,0,0,0,1,0,0,0.88671,0.333333,1,0,0.259762,-1,1,0,1
young4c.mtx,61.5507,61.5507,56.9501,3,841,236.467,236.467,0,282.46,282.46,282.46,0,2,-218.46,218.46,0,0,0,1,1,1,1,1,0,0,0.259762,-1,1,1,1
ex25.mtx,0.00021849,0.00021849,0.00159297,24369,848,1.66108,1.64127,0.255786,0.781306,0.781306,0.781306,0.154163,62,19.1105,19.1134,0,28,0,0,0,1,0.986435,1,0,0,0.0225394,3,608,95,95
dwt_869.mtx,5835.55,5835.55,60678.8,5303,869,46786.1,46786.1,0,6168,6168,6168,0,11,120781,120781,0,6,0,0,1,1,1,1,0,0,138.988,1,291,586,586
dwt_878.mtx,7196.57,7196.57,70919.6,6962,878,51634.4,51634.4,0,7617,7617,7617,0,10,144927,144927,0,7,0,0,1,1,1,1,0,0,165.065,1,326,519,519
qh882.mtx,5.05E+22,5.06E+22,2.10E+11,3354,882,2.26E+13,1.60E+13,1.60E+13,6.86E+12,6.68E+12,3.43E+12,3.43E+12,12,-3.60E+07,3.60E+07,0,3,0,0,0,0,0.5,0.937388,0,0,40832,-1,498,518,518
orsirr_2.mtx,1.61E+08,1.37E+08,3.40E+09,5970,886,1.55E+06,1.51E+06,342093,568295,535039,484984,83402.4,14,-2.20E+07,2.20E+07,0,6,0,0,0,1,0.935516,1,2,0,24811.9,-2,886,554,554
pde900.mtx,0.0516633,0.0533406,0.108051,4380,900,145.861,142.975,28.8697,12.8586,12.8335,11.2656,2.45578,5,3799.78,3799.78,0,4,0,0,0,1,0.926624,1,0,0,4.22198,2,900,30,30
gr_30_30.mtx,0.08,0.08,0,7744,900,253.858,253.858,0,16,16,16,0,9,7200,7200,0,8,0,0,1,1,1,1,1,1,8,2,900,31,31
DK01R.mtx,9.78E+10,9.78E+10,1.97E+06,12185,903,2.41E+07,2.41E+07,0,1.43E+07,1.43E+07,1.43E+07,0,19,148104,148104,0,13,0,0,1,1,1,1,0,0,164.013,2,903,18,18
dwt_918.mtx,7427.08,7427.08,70762.2,6554,918,51689.5,51689.5,0,9104,9104,9104,0,12,143300,143300,0,7,0,0,1,1,1,1,0,0,156.1,1,316,838,838
jagmesh1.mtx,6888.97,6888.97,79506.9,4748,936,49903,49903,0,7232,7232,7232,0,8,155514,155514,0,5,0,0,1,1,1,1,0,0,166.147,1,328,778,778
L.mtx,5402.49,5402.49,0,3306,956,41326.1,41326.1,0,5601,5601,5601,0,6,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,944,944
nos2.mtx,9.69E+18,9.69E+18,1.37E+21,4137,957,1.72E+12,1.72E+12,0,1.59E+11,1.59E+11,1.59E+11,0,5,2.51E+13,2.51E+13,0,4,0,0,1,1,1,1,0,0,2.62E+10,2,957,4,4
nos3.mtx,106.582,106.582,3318.89,15844,960,7714.48,7714.48,0,767.399,767.399,767.399,0,18,195618,195618,0,16,0,0,1,1,1,1,0,0,203.769,2,960,43,43
dwg961a.mtx,2.50891,2.50891,2.52199,1,961,49.1537,49.1537,0,49.1537,49.1537,49.1537,0,1,-49.1537,49.1537,0,0,1,1,1,1,1,1,1,1,0.0511485,-1,1,0,0
cdde1.mtx,0.0205788,0.0205788,0,4681,961,137.407,137.374,3.01364,7.9707,7.9707,7.9707,0.1875,5,3815.85,3815.85,0,4,0,0,0,1,0.98843,1,0,0,3.9707,2,961,31,31
cdde2.mtx,0.0269199,0.0269199,0,4681,961,156.678,137.374,75.341,9.0957,9.0957,7.9707,4.6875,5,3815.85,3815.85,0,4,0,0,0,1,0.746019,1,0,0,3.9707,2,961,31,31
cdde3.mtx,0.0201778,0.0201778,0,4681,961,136.053,136.019,3.01364,7.92188,7.92188,7.92188,0.1875,5,3768.92,3768.92,0,4,0,0,0,1,0.988358,1,0,0,3.92188,2,961,31,31
cdde4.mtx,0.0265188,0.0265188,0,4681,961,155.491,136.019,75.341,9.04688,9.04688,7.92188,4.6875,5,3768.92,3768.92,0,4,0,0,0,1,0.744623,1,0,0,3.92188,2,961,31,31
cdde5.mtx,0.0188513,0.0188513,0,4681,961,131.474,131.439,3.01364,7.75586,7.75586,7.75586,0.1875,5,3609.38,3609.38,0,4,0,0,0,1,0.988104,1,0,0,3.75586,2,961,31,31
cdde6.mtx,0.0251924,0.0251924,0,4681,961,151.501,131.439,75.341,8.88086,8.88086,7.75586,4.6875,5,3609.38,3609.38,0,4,0,0,0,1,0.739758,1,0,0,3.75586,2,961,31,31
dwg961b.mtx,4.15E-05,4.15E-05,4.18E-05,1,961,0.200003,0.200003,0,0.200003,0.200003,0.200003,0,1,-0.200003,0.200003,0,0,1,1,1,1,1,1,1,1,0.00020812,-1,1,0,0
rdb968.mtx,0.556962,0.542996,693.624,5632,968,532.234,511.529,147.007,41.856,43.306,38.581,4.725,6,-12071.9,12071.9,0,5,0,0,0,1,0.91941,1,0,0,12.471,-2,968,44,44
ex27.mtx,3.57E-05,3.57E-05,0.00049095,37652,974,0.950936,0.950921,0.00540834,0.336864,0.336943,0.336903,0.00666367,92,13.9976,14.2976,0,38,0,0,0,1,0.998627,1,0,0,0.0146793,3,782,115,136
west0989.mtx,1.01E+08,1.03E+08,531571,3518,989,1.27E+06,900464,900173,386773,318714,210507,210507,12,-22893.4,22896.9,0,3,0,0,0,0,0.501819,0.0195081,0,0,23.1516,3,5,855,620
jpwh_991.mtx,0.24218,0.24218,114.747,6027,991,193.626,193.212,12.6491,30,30,30,4,16,-5181,5181,0,6,145,1,0,0,0.98434,0.946906,1,0,5.22805,-2,991,197,197
dwt_992.mtx,11039.2,11039.2,83044.1,11571,992,71249.3,71249.3,0,12295,12295,12295,0,14,165129,165129,0,11,0,0,1,1,1,1,0,0,166.461,1,331,513,513
saylr3.mtx,0.0119003,0.0119003,3.57797,3750,1000,43.0871,43.0871,0,5.2801,5.2801,5.2801,0,7,-877.873,877.873,0,3,315,1,1,1,1,1,0,0,0.877873,-2,1000,100,100
sherman1.mtx,0.0126645,0.0126645,3.59853,3750,1000,43.2032,43.2032,0,5.2801,5.2801,5.2801,0,7,-879.873,879.873,0,3,315,1,1,1,1,1,0,0,0.879873,-2,1000,100,100
olm1000.mtx,3.18E+06,3.14E+06,3.23E+07,3996,1000,1.26E+06,897028,886181,91554.7,101722,55944.8,45777.3,6,-2.54E+06,2.54E+06,0,3,0,0,0,0,0.549981,0.75025,0,0,2541.07,-2,1000,2,3
tub1000.mtx,2.00E+07,2.23E+07,3.97E+10,3996,1000,3.86E+06,3.86E+06,71302.5,249258,200212,224230,25281.6,4,-9.96E+07,9.96E+07,0,3,0,0,0,1,0.998238,1,0,0,99601.4,-2,1000,2,2
G51.mtx,12881.2,12881.2,0,9756,1000,58858.3,58858.3,0,21301,21301,21301,0,103,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,998,998
G53.mtx,10050.7,10050.7,0,9836,1000,58640.2,58640.2,0,16673,16673,16673,0,91,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,996,996
G52.mtx,12315.9,12315.9,0,9808,1000,59013.9,59013.9,0,22017,22017,22017,0,116,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,991,991
G54.mtx,10128.3,10128.3,0,9788,1000,58631.2,58631.2,0,17055,17055,17055,0,91,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,992,992
G43.mtx,14332.9,14332.9,0,15274,1000,80488.2,80488.2,0,18128,18128,18128,0,26,0,0,0,15,0,0,1,1,1,1,0,0,0,0,0,991,991
G44.mtx,14177.9,14177.9,0,15260,1000,79759,79759,0,17617,17617,17617,0,26,0,0,0,15,0,0,1,1,1,1,0,0,0,0,0,985,985
G45.mtx,16540,16540,0,15264,1000,79900.3,79900.3,0,19765,19765,19765,0,25,0,0,0,15,0,0,1,1,1,1,0,0,0,0,0,997,997
G46.mtx,14013,14013,0,15276,1000,80072.1,80072.1,0,17251,17251,17251,0,26,0,0,0,15,0,0,1,1,1,1,0,0,0,0,0,986,986
G47.mtx,14863.1,14863.1,0,15252,1000,80070.6,80070.6,0,18837,18837,18837,0,26,0,0,0,15,0,0,1,1,1,1,0,0,0,0,0,992,992
dwt_1005.mtx,13120.6,13120.6,0,6485,1005,54247.4,54247.4,0,14172,14172,14172,0,19,1.01E+06,1.01E+06,0,6,0,0,1,1,1,1,0,0,1004,2,1005,851,851
dwt_1007.mtx,7381.67,7381.67,83687.3,6143,1007,58389.1,58389.1,0,7771,7771,7771,0,9,168172,168172,0,6,0,0,1,1,1,1,0,0,167.003,1,337,986,986
jagmesh2.mtx,6861.56,6861.56,0,5097,1009,49061.7,49061.7,0,7010,7010,7010,0,7,1.02E+06,1.02E+06,0,5,0,0,1,1,1,1,0,0,1008,2,1009,991,991
lshp1009.mtx,6861.56,6861.56,0,5097,1009,49061.7,49061.7,0,7010,7010,7010,0,7,1.02E+06,1.02E+06,0,5,0,0,1,1,1,1,0,0,1008,2,1009,991,991
cage8.mtx,0.000791943,0.000777473,0.0154954,11003,1015,21.2602,21.2164,1.36359,1,1.33333,1.16667,0.25,18,653,653,0,10,0,0,0,1,0.945588,1,0,0,0.64335,2,1015,420,420
